job_id,arm,status,reason,selected_candidate,seconds,reused_from
y2025_h00_o2025-04,A,completed,,X2,722.375910282135,
y2025_h00_o2025-04,B,completed,,X5,810.5117518901825,
y2025_h00_o2025-04,C,completed,,X5,810.5117518901825,B
y2025_h00_o2025-04,D,completed,,X4,1161.357991695404,
y2025_h00_o2025-07,A,completed,,X2,722.2729012966156,
y2025_h00_o2025-07,B,completed,,X5,802.5532448291779,
y2025_h00_o2025-07,C,completed,,X5,802.5532448291779,B
y2025_h00_o2025-07,D,completed,,X4,1154.8169558048248,
y2025_h00_o2025-09,A,completed,,X2,725.0233602523804,
y2025_h00_o2025-09,B,completed,,X5,797.5804615020752,
y2025_h00_o2025-09,C,completed,,X5,797.5804615020752,B
y2025_h00_o2025-09,D,completed,,X4,1154.2817332744598,
y2025_h00_o2025-10,A,completed,,X2,720.8469107151031,
y2025_h00_o2025-10,B,completed,,X5,798.7967686653137,
y2025_h00_o2025-10,C,completed,,X5,798.7967686653137,B
y2025_h00_o2025-10,D,completed,,X4,1150.5007150173187,
y2025_h03_o2025-01,A,completed,,X4,601.926696062088,
y2025_h03_o2025-01,B,completed,,X1,613.5913081169128,
y2025_h03_o2025-01,C,completed,,X2,643.6537575721741,
y2025_h03_o2025-01,D,completed,,X6,1140.1515982151031,
y2025_h03_o2025-04,A,completed,,X4,598.6691477298737,
y2025_h03_o2025-04,B,completed,,X1,614.3125579357147,
y2025_h03_o2025-04,C,completed,,X2,642.6534833908081,
y2025_h03_o2025-04,D,completed,,X6,1131.1392738819122,
y2025_h03_o2025-06,A,completed,,X4,601.5159542560577,
y2025_h03_o2025-06,B,completed,,X1,609.3529534339905,
y2025_h03_o2025-06,C,completed,,X2,636.4707696437836,
y2025_h03_o2025-06,D,completed,,X6,1129.1495804786682,
y2025_h03_o2025-07,A,completed,,X4,594.9692356586456,
y2025_h03_o2025-07,B,completed,,X1,606.4966969490051,
y2025_h03_o2025-07,C,completed,,X2,635.5190691947937,
y2025_h03_o2025-07,D,completed,,X6,1120.1146881580353,
y2025_h06_o2024-10,A,completed,,X4,553.9810812473297,
y2025_h06_o2024-10,B,completed,,X5,609.8606975078583,
y2025_h06_o2024-10,C,completed,,X5,629.7463819980621,
y2025_h06_o2024-10,D,completed,,X4,843.0854184627533,
y2025_h06_o2025-01,A,completed,,X4,550.6625666618347,
y2025_h06_o2025-01,B,completed,,X5,607.6809480190277,
y2025_h06_o2025-01,C,completed,,X5,632.5420758724213,
y2025_h06_o2025-01,D,completed,,X4,845.8067629337311,
y2025_h06_o2025-03,A,completed,,X4,549.7721390724182,
y2025_h06_o2025-03,B,completed,,X5,606.9494683742523,
y2025_h06_o2025-03,C,completed,,X5,632.3636877536774,
y2025_h06_o2025-03,D,completed,,X4,862.6425018310547,
y2025_h06_o2025-04,A,completed,,X4,557.0175278186798,
y2025_h06_o2025-04,B,completed,,X5,624.7715268135071,
y2025_h06_o2025-04,C,completed,,X5,650.4483258724213,
y2025_h06_o2025-04,D,completed,,X4,888.25976729393,
y2025_h12_o2024-04,A,completed,,X6,235.85233640670776,
y2025_h12_o2024-04,B,completed,,X5,227.45224571228027,
y2025_h12_o2024-04,C,completed,,X2,201.0409116744995,
y2025_h12_o2024-04,D,completed,,X5,286.1689145565033,
y2025_h12_o2024-07,A,completed,,X5,346.8194317817688,
y2025_h12_o2024-07,B,completed,,X5,376.09632420539856,
y2025_h12_o2024-07,C,completed,,X2,347.4424059391022,
y2025_h12_o2024-07,D,completed,,X5,477.3274540901184,
y2025_h12_o2024-09,A,completed,,X5,349.3724455833435,
y2025_h12_o2024-09,B,completed,,X5,371.60940504074097,
y2025_h12_o2024-09,C,completed,,X2,344.58244919776917,
y2025_h12_o2024-09,D,completed,,X5,413.4913818836212,
y2025_h12_o2024-10,A,completed,,X5,327.97229051589966,
y2025_h12_o2024-10,B,completed,,X5,345.03185749053955,
y2025_h12_o2024-10,C,completed,,X2,309.98483753204346,
y2025_h12_o2024-10,D,completed,,X5,355.390278339386,
y2026_h00_o2026-04,A,completed,,X1,722.2736055850983,
y2026_h00_o2026-04,B,completed,,X4,778.9613780975342,
y2026_h00_o2026-04,C,completed,,X4,778.9613780975342,B
y2026_h00_o2026-04,D,completed,,X1,1173.0860328674316,
y2026_h03_o2026-01,A,completed,,X1,590.0119626522064,
y2026_h03_o2026-01,B,completed,,X6,717.4427437782288,
y2026_h03_o2026-01,C,completed,,X4,647.7311837673187,
y2026_h03_o2026-01,D,completed,,X1,1191.3481776714325,
y2026_h06_o2025-10,A,completed,,X2,532.3008534908295,
y2026_h06_o2025-10,B,completed,,X1,561.1014075279236,
y2026_h06_o2025-10,C,completed,,X1,584.5349271297455,
y2026_h06_o2025-10,D,completed,,X3,958.2520699501038,
y2026_h12_o2025-04,A,completed,,X6,253.50122547149658,
y2026_h12_o2025-04,B,completed,,X1,212.1677942276001,
y2026_h12_o2025-04,C,completed,,X4,208.32725429534912,
y2026_h12_o2025-04,D,completed,,X1,231.6465413570404,
