check,year,horizon,arm,cohort,pass,detail,contrast
prediction_coverage,2025,0,A,primary,True,0 frozen cohort keys without predictions,
phase_from_raw_predictions,2025,0,A,primary,True,,
prediction_coverage,2025,0,B,primary,True,0 frozen cohort keys without predictions,
phase_from_raw_predictions,2025,0,B,primary,True,,
prediction_coverage,2025,0,C,primary,True,0 frozen cohort keys without predictions,
phase_from_raw_predictions,2025,0,C,primary,True,,
prediction_coverage,2025,0,D,primary,True,0 frozen cohort keys without predictions,
phase_from_raw_predictions,2025,0,D,primary,True,,
bootstrap_bundle_present,2025,0,,primary,True,,
bootstrap_cohort_keys_match,2025,0,,primary,True,,
contrast_present,2025,0,,primary,True,,B-A
contrast_present,2025,0,,primary,True,,C-B
contrast_present,2025,0,,primary,True,,D-C
contrast_present,2025,0,,primary,True,,A-always_crisis
contrast_present,2025,0,,primary,True,,B-always_crisis
contrast_present,2025,0,,primary,True,,C-always_crisis
contrast_present,2025,0,,primary,True,,D-always_crisis
bootstrap_interval_replay,2025,0,,primary,True,,B-A
bootstrap_interval_replay,2025,0,,primary,True,,C-B
bootstrap_interval_replay,2025,0,,primary,True,,D-C
bootstrap_interval_replay,2025,0,,primary,True,,A-always_crisis
bootstrap_interval_replay,2025,0,,primary,True,,B-always_crisis
bootstrap_interval_replay,2025,0,,primary,True,,C-always_crisis
bootstrap_interval_replay,2025,0,,primary,True,,D-always_crisis
prediction_coverage,2025,0,A,persistence_subset,True,0 frozen cohort keys without predictions,
phase_from_raw_predictions,2025,0,A,persistence_subset,True,,
prediction_coverage,2025,0,B,persistence_subset,True,0 frozen cohort keys without predictions,
phase_from_raw_predictions,2025,0,B,persistence_subset,True,,
prediction_coverage,2025,0,C,persistence_subset,True,0 frozen cohort keys without predictions,
phase_from_raw_predictions,2025,0,C,persistence_subset,True,,
prediction_coverage,2025,0,D,persistence_subset,True,0 frozen cohort keys without predictions,
phase_from_raw_predictions,2025,0,D,persistence_subset,True,,
bootstrap_bundle_present,2025,0,,persistence_subset,True,,
bootstrap_cohort_keys_match,2025,0,,persistence_subset,True,,
contrast_present,2025,0,,persistence_subset,True,,A-persistence
contrast_present,2025,0,,persistence_subset,True,,B-persistence
contrast_present,2025,0,,persistence_subset,True,,C-persistence
contrast_present,2025,0,,persistence_subset,True,,D-persistence
contrast_present,2025,0,,persistence_subset,True,,A-always_crisis
contrast_present,2025,0,,persistence_subset,True,,B-always_crisis
contrast_present,2025,0,,persistence_subset,True,,C-always_crisis
contrast_present,2025,0,,persistence_subset,True,,D-always_crisis
bootstrap_interval_replay,2025,0,,persistence_subset,True,,A-persistence
bootstrap_interval_replay,2025,0,,persistence_subset,True,,B-persistence
bootstrap_interval_replay,2025,0,,persistence_subset,True,,C-persistence
bootstrap_interval_replay,2025,0,,persistence_subset,True,,D-persistence
bootstrap_interval_replay,2025,0,,persistence_subset,True,,A-always_crisis
