job_id,view,branch,method,status,reason,calibration_months,calibration_rows,shift,isotonic_thresholds
y2025_h00_o2025-04,A,direct,shift,ok,,2023-08;2024-01;2024-07,1059,0.07758773822228338,
y2025_h00_o2025-04,B,direct,shift,ok,,2023-08;2024-01;2024-07,1059,0.07955995315054432,
y2025_h00_o2025-04,D_direct,direct,none,ok,,,0,,
y2025_h00_o2025-04,D_residual,residual,isotonic,ok,,2023-08;2024-01;2024-07,1010,,41.0
y2025_h00_o2025-04,D_residual,fallback_direct,isotonic,ok,,2023-08;2024-01;2024-07,1059,,38.0
y2025_h00_o2025-07,A,direct,shift,ok,,2023-08;2024-01;2024-07,1059,0.07758773822228338,
y2025_h00_o2025-07,B,direct,shift,ok,,2023-08;2024-01;2024-07,1059,0.07955995315054432,
y2025_h00_o2025-07,D_direct,direct,none,ok,,,0,,
y2025_h00_o2025-07,D_residual,residual,isotonic,ok,,2023-08;2024-01;2024-07,1010,,41.0
y2025_h00_o2025-07,D_residual,fallback_direct,isotonic,ok,,2023-08;2024-01;2024-07,1059,,38.0
y2025_h00_o2025-09,A,direct,shift,ok,,2023-08;2024-01;2024-07,1059,0.07758773822228338,
y2025_h00_o2025-09,B,direct,shift,ok,,2023-08;2024-01;2024-07,1059,0.07955995315054432,
y2025_h00_o2025-09,D_direct,direct,none,ok,,,0,,
y2025_h00_o2025-09,D_residual,residual,isotonic,ok,,2023-08;2024-01;2024-07,1010,,41.0
y2025_h00_o2025-09,D_residual,fallback_direct,isotonic,ok,,2023-08;2024-01;2024-07,1059,,38.0
y2025_h00_o2025-10,A,direct,shift,ok,,2023-08;2024-01;2024-07,1059,0.07758773822228338,
y2025_h00_o2025-10,B,direct,shift,ok,,2023-08;2024-01;2024-07,1059,0.07955995315054432,
y2025_h00_o2025-10,D_direct,direct,none,ok,,,0,,
y2025_h00_o2025-10,D_residual,residual,isotonic,ok,,2023-08;2024-01;2024-07,1010,,41.0
y2025_h00_o2025-10,D_residual,fallback_direct,isotonic,ok,,2023-08;2024-01;2024-07,1059,,38.0
y2026_h00_o2026-04,A,direct,isotonic,ok,,2025-07;2025-09;2025-10,972,,19.0
y2026_h00_o2026-04,B,direct,isotonic,ok,,2025-07;2025-09;2025-10,972,,13.0
y2026_h00_o2026-04,D_direct,direct,shift,ok,,2025-07;2025-09;2025-10,972,0.05491593834549312,
y2026_h00_o2026-04,D_residual,residual,shift,ok,,2025-07;2025-09;2025-10,972,0.07534984488420714,
y2026_h00_o2026-04,D_residual,fallback_direct,shift,ok,,2025-07;2025-09;2025-10,972,0.05491593834549312,
y2025_h03_o2025-01,A,direct,shift,ok,,2023-08;2024-01;2024-07,1059,0.07457606693953134,
y2025_h03_o2025-01,B,direct,shift,ok,,2023-08;2024-01;2024-07,1059,0.06321745962889493,
y2025_h03_o2025-01,C,direct,shift,ok,,2023-08;2024-01;2024-07,1059,0.0667774463580733,
