job_id,view,horizon,test_year,formulation,bundle,method,recipe_source_view,recipe_selection_max_label,receiving_origin,selection_uses_later_labels,mapping_months,status,reason,calibration_status,calibration_reason,reused_from
y2025_h00_o2025-04,A,0,2025,direct,X3,shift,A,2024-07,2025-04,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h00_o2025-04,B,0,2025,direct,X1,shift,B,2024-07,2025-04,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h00_o2025-04,D_direct,0,2025,direct,X1,none,D_direct,2024-07,2025-04,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h00_o2025-04,D_residual,0,2025,residual,X6,isotonic,D_residual,2024-07,2025-04,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h00_o2025-07,A,0,2025,direct,X3,shift,A,2024-07,2025-07,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h00_o2025-07,B,0,2025,direct,X1,shift,B,2024-07,2025-07,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h00_o2025-07,D_direct,0,2025,direct,X1,none,D_direct,2024-07,2025-07,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h00_o2025-07,D_residual,0,2025,residual,X6,isotonic,D_residual,2024-07,2025-07,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h00_o2025-09,A,0,2025,direct,X3,shift,A,2024-07,2025-09,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h00_o2025-09,B,0,2025,direct,X1,shift,B,2024-07,2025-09,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h00_o2025-09,D_direct,0,2025,direct,X1,none,D_direct,2024-07,2025-09,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h00_o2025-09,D_residual,0,2025,residual,X6,isotonic,D_residual,2024-07,2025-09,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h00_o2025-10,A,0,2025,direct,X3,shift,A,2024-07,2025-10,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h00_o2025-10,B,0,2025,direct,X1,shift,B,2024-07,2025-10,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h00_o2025-10,D_direct,0,2025,direct,X1,none,D_direct,2024-07,2025-10,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h00_o2025-10,D_residual,0,2025,residual,X6,isotonic,D_residual,2024-07,2025-10,False,2023-08;2024-01;2024-07,completed,,ok,,
y2026_h00_o2026-04,A,0,2026,direct,X2,isotonic,A,2025-10,2026-04,False,2025-07;2025-09;2025-10,completed,,ok,,
y2026_h00_o2026-04,B,0,2026,direct,X6,isotonic,B,2025-10,2026-04,False,2025-07;2025-09;2025-10,completed,,ok,,
y2026_h00_o2026-04,D_direct,0,2026,direct,X1,shift,D_direct,2025-10,2026-04,False,2025-07;2025-09;2025-10,completed,,ok,,
y2026_h00_o2026-04,D_residual,0,2026,residual,X1,shift,D_residual,2025-10,2026-04,False,2025-07;2025-09;2025-10,completed,,ok,,
y2025_h03_o2025-01,A,3,2025,direct,X3,shift,A,2024-07,2025-01,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h03_o2025-01,B,3,2025,direct,X1,shift,B,2024-07,2025-01,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h03_o2025-01,C,3,2025,direct,X1,shift,B,2024-07,2025-01,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h03_o2025-01,D_direct,3,2025,direct,X1,none,D_direct,2024-07,2025-01,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h03_o2025-01,D_residual,3,2025,residual,X6,isotonic,D_residual,2024-07,2025-01,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h03_o2025-04,A,3,2025,direct,X3,shift,A,2024-07,2025-04,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h03_o2025-04,B,3,2025,direct,X1,shift,B,2024-07,2025-04,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h03_o2025-04,C,3,2025,direct,X1,shift,B,2024-07,2025-04,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h03_o2025-04,D_direct,3,2025,direct,X1,none,D_direct,2024-07,2025-04,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h03_o2025-04,D_residual,3,2025,residual,X6,isotonic,D_residual,2024-07,2025-04,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h03_o2025-06,A,3,2025,direct,X3,shift,A,2024-07,2025-06,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h03_o2025-06,B,3,2025,direct,X1,shift,B,2024-07,2025-06,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h03_o2025-06,C,3,2025,direct,X1,shift,B,2024-07,2025-06,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h03_o2025-06,D_direct,3,2025,direct,X1,none,D_direct,2024-07,2025-06,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h03_o2025-06,D_residual,3,2025,residual,X6,isotonic,D_residual,2024-07,2025-06,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h03_o2025-07,A,3,2025,direct,X3,shift,A,2024-07,2025-07,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h03_o2025-07,B,3,2025,direct,X1,shift,B,2024-07,2025-07,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h03_o2025-07,C,3,2025,direct,X1,shift,B,2024-07,2025-07,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h03_o2025-07,D_direct,3,2025,direct,X1,none,D_direct,2024-07,2025-07,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h03_o2025-07,D_residual,3,2025,residual,X6,isotonic,D_residual,2024-07,2025-07,False,2023-08;2024-01;2024-07,completed,,ok,,
y2026_h03_o2026-01,A,3,2026,direct,X2,isotonic,A,2025-10,2026-01,False,2025-07;2025-09;2025-10,completed,,ok,,
y2026_h03_o2026-01,B,3,2026,direct,X6,isotonic,B,2025-10,2026-01,False,2025-07;2025-09;2025-10,completed,,ok,,
y2026_h03_o2026-01,C,3,2026,direct,X6,isotonic,B,2025-10,2026-01,False,2025-07;2025-09;2025-10,completed,,ok,,
y2026_h03_o2026-01,D_direct,3,2026,direct,X1,shift,D_direct,2025-10,2026-01,False,2025-07;2025-09;2025-10,completed,,ok,,
y2026_h03_o2026-01,D_residual,3,2026,residual,X1,shift,D_residual,2025-10,2026-01,False,2025-07;2025-09;2025-10,completed,,ok,,
y2025_h06_o2024-10,A,6,2025,direct,X3,shift,A,2024-07,2024-10,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h06_o2024-10,B,6,2025,direct,X1,shift,B,2024-07,2024-10,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h06_o2024-10,C,6,2025,direct,X1,shift,B,2024-07,2024-10,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h06_o2024-10,D_direct,6,2025,direct,X1,none,D_direct,2024-07,2024-10,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h06_o2024-10,D_residual,6,2025,residual,X6,isotonic,D_residual,2024-07,2024-10,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h06_o2025-01,A,6,2025,direct,X3,shift,A,2024-07,2025-01,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h06_o2025-01,B,6,2025,direct,X1,shift,B,2024-07,2025-01,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h06_o2025-01,C,6,2025,direct,X1,shift,B,2024-07,2025-01,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h06_o2025-01,D_direct,6,2025,direct,X1,none,D_direct,2024-07,2025-01,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h06_o2025-01,D_residual,6,2025,residual,X6,isotonic,D_residual,2024-07,2025-01,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h06_o2025-03,A,6,2025,direct,X3,shift,A,2024-07,2025-03,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h06_o2025-03,B,6,2025,direct,X1,shift,B,2024-07,2025-03,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h06_o2025-03,C,6,2025,direct,X1,shift,B,2024-07,2025-03,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h06_o2025-03,D_direct,6,2025,direct,X1,none,D_direct,2024-07,2025-03,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h06_o2025-03,D_residual,6,2025,residual,X6,isotonic,D_residual,2024-07,2025-03,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h06_o2025-04,A,6,2025,direct,X3,shift,A,2024-07,2025-04,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h06_o2025-04,B,6,2025,direct,X1,shift,B,2024-07,2025-04,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h06_o2025-04,C,6,2025,direct,X1,shift,B,2024-07,2025-04,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h06_o2025-04,D_direct,6,2025,direct,X1,none,D_direct,2024-07,2025-04,False,2023-08;2024-01;2024-07,completed,,ok,,
y2025_h06_o2025-04,D_residual,6,2025,residual,X6,isotonic,D_residual,2024-07,2025-04,False,2023-08;2024-01;2024-07,completed,,ok,,
y2026_h06_o2025-10,A,6,2026,direct,X2,isotonic,A,2025-10,2025-10,False,2025-07;2025-09;2025-10,completed,,ok,,
y2026_h06_o2025-10,B,6,2026,direct,X6,isotonic,B,2025-10,2025-10,False,2025-07;2025-09;2025-10,completed,,ok,,
y2026_h06_o2025-10,C,6,2026,direct,X6,isotonic,B,2025-10,2025-10,False,2025-07;2025-09;2025-10,completed,,ok,,
