scope,horizon,arm,formulation,bundle,v,status,reason,n_fit,fit_max_target_ord,fit_label_cutoff_ord,weight_origin_ord,model_kind
2025,0,A,direct,X1,24273,ok,,603,24270.0,24272,24273,xgboost
2025,0,A,direct,X1,24276,ok,,1129,24273.0,24275,24276,xgboost
2025,0,A,direct,X1,24278,ok,,1653,24276.0,24277,24278,xgboost
2025,0,A,direct,X1,24283,ok,,1998,24278.0,24282,24283,xgboost
2025,0,A,direct,X1,24288,ok,,2346,24283.0,24287,24288,xgboost
2025,0,A,direct,X1,24294,ok,,2702,24288.0,24293,24294,xgboost
2025,0,A,direct,X2,24273,ok,,603,24270.0,24272,24273,xgboost
2025,0,A,direct,X2,24276,ok,,1129,24273.0,24275,24276,xgboost
2025,0,A,direct,X2,24278,ok,,1653,24276.0,24277,24278,xgboost
2025,0,A,direct,X2,24283,ok,,1998,24278.0,24282,24283,xgboost
2025,0,A,direct,X2,24288,ok,,2346,24283.0,24287,24288,xgboost
2025,0,A,direct,X2,24294,ok,,2702,24288.0,24293,24294,xgboost
2025,0,A,direct,X3,24273,ok,,603,24270.0,24272,24273,xgboost
2025,0,A,direct,X3,24276,ok,,1129,24273.0,24275,24276,xgboost
2025,0,A,direct,X3,24278,ok,,1653,24276.0,24277,24278,xgboost
2025,0,A,direct,X3,24283,ok,,1998,24278.0,24282,24283,xgboost
2025,0,A,direct,X3,24288,ok,,2346,24283.0,24287,24288,xgboost
2025,0,A,direct,X3,24294,ok,,2702,24288.0,24293,24294,xgboost
2025,0,A,direct,X4,24273,ok,,603,24270.0,24272,24273,xgboost
2025,0,A,direct,X4,24276,ok,,1129,24273.0,24275,24276,xgboost
2025,0,A,direct,X4,24278,ok,,1653,24276.0,24277,24278,xgboost
2025,0,A,direct,X4,24283,ok,,1998,24278.0,24282,24283,xgboost
2025,0,A,direct,X4,24288,ok,,2346,24283.0,24287,24288,xgboost
2025,0,A,direct,X4,24294,ok,,2702,24288.0,24293,24294,xgboost
2025,0,A,direct,X5,24273,ok,,603,24270.0,24272,24273,xgboost
2025,0,A,direct,X5,24276,ok,,1129,24273.0,24275,24276,xgboost
2025,0,A,direct,X5,24278,ok,,1653,24276.0,24277,24278,xgboost
2025,0,A,direct,X5,24283,ok,,1998,24278.0,24282,24283,xgboost
2025,0,A,direct,X5,24288,ok,,2346,24283.0,24287,24288,xgboost
2025,0,A,direct,X5,24294,ok,,2702,24288.0,24293,24294,xgboost
2025,0,A,direct,X6,24273,ok,,603,24270.0,24272,24273,xgboost
2025,0,A,direct,X6,24276,ok,,1129,24273.0,24275,24276,xgboost
2025,0,A,direct,X6,24278,ok,,1653,24276.0,24277,24278,xgboost
2025,0,A,direct,X6,24283,ok,,1998,24278.0,24282,24283,xgboost
2025,0,A,direct,X6,24288,ok,,2346,24283.0,24287,24288,xgboost
2025,0,A,direct,X6,24294,ok,,2702,24288.0,24293,24294,xgboost
2025,0,B,direct,X1,24273,ok,,603,24270.0,24272,24273,xgboost
2025,0,B,direct,X1,24276,ok,,1129,24273.0,24275,24276,xgboost
2025,0,B,direct,X1,24278,ok,,1653,24276.0,24277,24278,xgboost
2025,0,B,direct,X1,24283,ok,,1998,24278.0,24282,24283,xgboost
2025,0,B,direct,X1,24288,ok,,2346,24283.0,24287,24288,xgboost
2025,0,B,direct,X1,24294,ok,,2702,24288.0,24293,24294,xgboost
2025,0,B,direct,X2,24273,ok,,603,24270.0,24272,24273,xgboost
