check,pass,detail
scoring_rows_match_provenance,True,
all_ok_candidates_replayed,True,0 missing
candidate_rmse_replay,True,
candidate_auc_replay,True,
scoring_months_fixed_2025,True,
calibration_before_scoring_2025_2023-08,True,
calibration_before_scoring_2025_2024-01,True,
calibration_before_scoring_2025_2024-07,True,
scoring_months_fixed_2026,True,
calibration_before_scoring_2026_2025-07,True,
calibration_before_scoring_2026_2025-09,True,
calibration_before_scoring_2026_2025-10,True,
scoring_keys_identical_across_candidates,True,
selection_2025_A,True,
selection_2025_B,True,
selection_2025_D_direct,True,
selection_2025_D_residual,True,
selection_2026_A,True,
selection_2026_B,True,
selection_2026_D_direct,True,
selection_2026_D_residual,True,
selection_2025_D_selected_min,True,
selection_2026_D_selected_min,True,
coverage_2025_h0_A,True,0 missing
final_r2_2025_h0_A,True,
final_rmse_2025_h0_A,True,
final_bias_2025_h0_A,True,
raw_r2_2025_h0_A,True,
final_auc_2025_h0_A,True,
binary_recall_2025_h0_A,True,
final_bound_2025_h0_A,True,
coverage_2025_h0_B,True,0 missing
final_r2_2025_h0_B,True,
final_rmse_2025_h0_B,True,
final_bias_2025_h0_B,True,
raw_r2_2025_h0_B,True,
final_auc_2025_h0_B,True,
binary_recall_2025_h0_B,True,
final_bound_2025_h0_B,True,
coverage_2025_h0_C,True,0 missing
final_r2_2025_h0_C,True,
final_rmse_2025_h0_C,True,
final_bias_2025_h0_C,True,
raw_r2_2025_h0_C,True,
final_auc_2025_h0_C,True,
binary_recall_2025_h0_C,True,
final_bound_2025_h0_C,True,
coverage_2025_h0_D_direct,True,0 missing
final_r2_2025_h0_D_direct,True,
final_rmse_2025_h0_D_direct,True,
final_bias_2025_h0_D_direct,True,
raw_r2_2025_h0_D_direct,True,
final_auc_2025_h0_D_direct,True,
binary_recall_2025_h0_D_direct,True,
final_bound_2025_h0_D_direct,True,
coverage_2025_h0_D_residual,True,0 missing
final_r2_2025_h0_D_residual,True,
final_rmse_2025_h0_D_residual,True,
final_bias_2025_h0_D_residual,True,
raw_r2_2025_h0_D_residual,True,
final_auc_2025_h0_D_residual,True,
binary_recall_2025_h0_D_residual,True,
final_bound_2025_h0_D_residual,True,
coverage_2025_h0_D_selected,True,0 missing
final_r2_2025_h0_D_selected,True,
final_rmse_2025_h0_D_selected,True,
final_bias_2025_h0_D_selected,True,
raw_r2_2025_h0_D_selected,True,
final_auc_2025_h0_D_selected,True,
binary_recall_2025_h0_D_selected,True,
final_bound_2025_h0_D_selected,True,
coverage_2025_h3_A,True,0 missing
final_r2_2025_h3_A,True,
final_rmse_2025_h3_A,True,
final_bias_2025_h3_A,True,
raw_r2_2025_h3_A,True,
final_auc_2025_h3_A,True,
binary_recall_2025_h3_A,True,
final_bound_2025_h3_A,True,
coverage_2025_h3_B,True,0 missing
final_r2_2025_h3_B,True,
final_rmse_2025_h3_B,True,
final_bias_2025_h3_B,True,
raw_r2_2025_h3_B,True,
final_auc_2025_h3_B,True,
binary_recall_2025_h3_B,True,
final_bound_2025_h3_B,True,
coverage_2025_h3_C,True,0 missing
final_r2_2025_h3_C,True,
final_rmse_2025_h3_C,True,
final_bias_2025_h3_C,True,
raw_r2_2025_h3_C,True,
final_auc_2025_h3_C,True,
binary_recall_2025_h3_C,True,
final_bound_2025_h3_C,True,
coverage_2025_h3_D_direct,True,0 missing
final_r2_2025_h3_D_direct,True,
final_rmse_2025_h3_D_direct,True,
final_bias_2025_h3_D_direct,True,
raw_r2_2025_h3_D_direct,True,
final_auc_2025_h3_D_direct,True,
binary_recall_2025_h3_D_direct,True,
final_bound_2025_h3_D_direct,True,
coverage_2025_h3_D_residual,True,0 missing
final_r2_2025_h3_D_residual,True,
final_rmse_2025_h3_D_residual,True,
final_bias_2025_h3_D_residual,True,
raw_r2_2025_h3_D_residual,True,
final_auc_2025_h3_D_residual,True,
binary_recall_2025_h3_D_residual,True,
final_bound_2025_h3_D_residual,True,
coverage_2025_h3_D_selected,True,0 missing
final_r2_2025_h3_D_selected,True,
final_rmse_2025_h3_D_selected,True,
final_bias_2025_h3_D_selected,True,
raw_r2_2025_h3_D_selected,True,
final_auc_2025_h3_D_selected,True,
binary_recall_2025_h3_D_selected,True,
final_bound_2025_h3_D_selected,True,
coverage_2025_h6_A,True,0 missing
final_r2_2025_h6_A,True,
final_rmse_2025_h6_A,True,
final_bias_2025_h6_A,True,
raw_r2_2025_h6_A,True,
final_auc_2025_h6_A,True,
binary_recall_2025_h6_A,True,
final_bound_2025_h6_A,True,
coverage_2025_h6_B,True,0 missing
final_r2_2025_h6_B,True,
final_rmse_2025_h6_B,True,
final_bias_2025_h6_B,True,
raw_r2_2025_h6_B,True,
final_auc_2025_h6_B,True,
binary_recall_2025_h6_B,True,
final_bound_2025_h6_B,True,
coverage_2025_h6_C,True,0 missing
final_r2_2025_h6_C,True,
final_rmse_2025_h6_C,True,
final_bias_2025_h6_C,True,
raw_r2_2025_h6_C,True,
final_auc_2025_h6_C,True,
binary_recall_2025_h6_C,True,
final_bound_2025_h6_C,True,
coverage_2025_h6_D_direct,True,0 missing
final_r2_2025_h6_D_direct,True,
final_rmse_2025_h6_D_direct,True,
final_bias_2025_h6_D_direct,True,
raw_r2_2025_h6_D_direct,True,
final_auc_2025_h6_D_direct,True,
binary_recall_2025_h6_D_direct,True,
final_bound_2025_h6_D_direct,True,
coverage_2025_h6_D_residual,True,0 missing
final_r2_2025_h6_D_residual,True,
final_rmse_2025_h6_D_residual,True,
final_bias_2025_h6_D_residual,True,
raw_r2_2025_h6_D_residual,True,
final_auc_2025_h6_D_residual,True,
binary_recall_2025_h6_D_residual,True,
final_bound_2025_h6_D_residual,True,
coverage_2025_h6_D_selected,True,0 missing
final_r2_2025_h6_D_selected,True,
final_rmse_2025_h6_D_selected,True,
final_bias_2025_h6_D_selected,True,
raw_r2_2025_h6_D_selected,True,
final_auc_2025_h6_D_selected,True,
binary_recall_2025_h6_D_selected,True,
final_bound_2025_h6_D_selected,True,
coverage_2025_h12_A,True,0 missing
final_r2_2025_h12_A,True,
final_rmse_2025_h12_A,True,
final_bias_2025_h12_A,True,
raw_r2_2025_h12_A,True,
final_auc_2025_h12_A,True,
binary_recall_2025_h12_A,True,
final_bound_2025_h12_A,True,
coverage_2025_h12_B,True,0 missing
final_r2_2025_h12_B,True,
final_rmse_2025_h12_B,True,
final_bias_2025_h12_B,True,
raw_r2_2025_h12_B,True,
final_auc_2025_h12_B,True,
binary_recall_2025_h12_B,True,
final_bound_2025_h12_B,True,
coverage_2025_h12_C,True,0 missing
final_r2_2025_h12_C,True,
final_rmse_2025_h12_C,True,
final_bias_2025_h12_C,True,
raw_r2_2025_h12_C,True,
final_auc_2025_h12_C,True,
binary_recall_2025_h12_C,True,
final_bound_2025_h12_C,True,
coverage_2025_h12_D_direct,True,0 missing
final_r2_2025_h12_D_direct,True,
final_rmse_2025_h12_D_direct,True,
final_bias_2025_h12_D_direct,True,
raw_r2_2025_h12_D_direct,True,
final_auc_2025_h12_D_direct,True,
binary_recall_2025_h12_D_direct,True,
final_bound_2025_h12_D_direct,True,
coverage_2025_h12_D_residual,True,0 missing
final_r2_2025_h12_D_residual,True,
final_rmse_2025_h12_D_residual,True,
final_bias_2025_h12_D_residual,True,
raw_r2_2025_h12_D_residual,True,
final_auc_2025_h12_D_residual,True,
binary_recall_2025_h12_D_residual,True,
final_bound_2025_h12_D_residual,True,
coverage_2025_h12_D_selected,True,0 missing
final_r2_2025_h12_D_selected,True,
final_rmse_2025_h12_D_selected,True,
final_bias_2025_h12_D_selected,True,
raw_r2_2025_h12_D_selected,True,
final_auc_2025_h12_D_selected,True,
binary_recall_2025_h12_D_selected,True,
final_bound_2025_h12_D_selected,True,
coverage_2026_h0_A,True,0 missing
final_r2_2026_h0_A,True,
final_rmse_2026_h0_A,True,
final_bias_2026_h0_A,True,
raw_r2_2026_h0_A,True,
final_auc_2026_h0_A,True,
binary_recall_2026_h0_A,True,
final_bound_2026_h0_A,True,
coverage_2026_h0_B,True,0 missing
final_r2_2026_h0_B,True,
final_rmse_2026_h0_B,True,
final_bias_2026_h0_B,True,
raw_r2_2026_h0_B,True,
final_auc_2026_h0_B,True,
binary_recall_2026_h0_B,True,
final_bound_2026_h0_B,True,
coverage_2026_h0_C,True,0 missing
final_r2_2026_h0_C,True,
final_rmse_2026_h0_C,True,
final_bias_2026_h0_C,True,
raw_r2_2026_h0_C,True,
final_auc_2026_h0_C,True,
