anl_id,from,to,valid_from_ord,valid_to_ord,n_features
12693302,Jan 2017,Jan 2017,24204,24204,73
12511433,Jul 2017,Jul 2017,24210,24210,73
12524105,Jan 2018,Jan 2018,24216,24216,73
12836822,Jul 2018,Jul 2018,24222,24222,73
13052452,Jan 2019,Jan 2019,24228,24228,73
14117796,Jul 2019,Sep 2019,24234,24236,73
14119557,Jan 2020,Mar 2020,24240,24242,74
18976784,Jul 2020,Sep 2020,24246,24248,74
22458384,Jan 2021,Mar 2021,24252,24254,74
24607466,Jul 2021,Sep 2021,24258,24260,18
24755659,Jan 2022,Jan 2022,24264,24264,18
25817951,May 2022,May 2022,24268,24268,18
26601265,Jul 2022,Sep 2022,24270,24272,362
26777665,Oct 2022,Dec 2022,24273,24275,372
33607389,Jan 2023,Mar 2023,24276,24278,342
54775925,Mar 2023,Mar 2023,24278,24278,348
59090932,Aug 2023,Sep 2023,24283,24284,348
65024769,Jan 2024,Mar 2024,24288,24290,355
69455744,Jul 2024,Sep 2024,24294,24296,355
77294491,Jan 2025,Mar 2025,24300,24302,355
82913971,Jul 2025,Sep 2025,24306,24308,355
93850564,Jan 2026,Jan 2026,24312,24312,328
87143405,Jan 2026,Jan 2026,24312,24312,107
87143416,Apr 2026,Jun 2026,24315,24317,107
