branch,test_year,view,status,formulation,bundle,method,rmse,auc,n,selection_max_round
original,2025,D_direct,ok,direct,X1,shift,0.15475295515298845,0.7260617760617761,1058,2024-07
original,2025,D_residual,ok,residual,X1,isotonic,0.15840350231115055,0.7209888459888459,1058,2024-07
original,2025,D_selected,ok,direct,X1,shift,0.15475295515298845,0.7260617760617761,1058,2024-07
original,2026,D_direct,ok,direct,X6,shift,0.11036557354156262,0.7761616397926864,972,2025-10
original,2026,D_residual,ok,residual,X4,shift,0.11539740311223358,0.7545349841635474,972,2025-10
original,2026,D_selected,ok,direct,X6,shift,0.11036557354156262,0.7761616397926864,972,2025-10
augmented,2025,D_direct,ok,direct,X1,none,0.15457962465756844,0.7230286182046131,2826,2024-07
augmented,2025,D_residual,ok,residual,X3,isotonic,0.15722164010423956,0.7155075627122677,2826,2024-07
augmented,2025,D_selected,ok,direct,X1,none,0.15457962465756844,0.7230286182046131,2826,2024-07
augmented,2026,D_direct,ok,direct,X3,isotonic,0.12040949609069185,0.743982597898071,972,2025-10
augmented,2026,D_residual,ok,residual,X2,shift,0.11585469323373364,0.7242590159804203,972,2025-10
augmented,2026,D_selected,ok,residual,X2,shift,0.11585469323373364,0.7242590159804203,972,2025-10
