job_id,arm,method,t2,t3,t4,t5
y2025_h00_o2025-04,A,canonical_0.2,0.2,0.2,0.2,0.2
y2025_h00_o2025-04,A,val_global_th_f2,0.125,0.125,0.125,0.125
y2025_h00_o2025-04,A,val_global_th_macro_f1,0.325,0.325,0.325,0.325
y2025_h00_o2025-04,A,val_perphase_th_macro_f1,0.4,0.325,0.175,0.075
y2025_h00_o2025-04,A,val_perphase_th_accuracy,0.325,0.325,0.2,0.075
y2025_h00_o2025-04,A,val_shift_calib_0.2,0.2,0.2,0.2,0.2
y2025_h00_o2025-04,A,val_isotonic_calib_0.2,0.2,0.2,0.2,0.2
y2025_h00_o2025-04,A,val_isotonic_then_perphase_macro_f1,0.425,0.25,0.1,0.05
y2025_h00_o2025-04,B,canonical_0.2,0.2,0.2,0.2,0.2
y2025_h00_o2025-04,B,val_global_th_f2,0.125,0.125,0.125,0.125
y2025_h00_o2025-04,B,val_global_th_macro_f1,0.375,0.375,0.375,0.375
y2025_h00_o2025-04,B,val_perphase_th_macro_f1,0.375,0.3,0.2,0.075
y2025_h00_o2025-04,B,val_perphase_th_accuracy,0.35,0.325,0.2,0.05
y2025_h00_o2025-04,B,val_shift_calib_0.2,0.2,0.2,0.2,0.2
y2025_h00_o2025-04,B,val_isotonic_calib_0.2,0.2,0.2,0.2,0.2
y2025_h00_o2025-04,B,val_isotonic_then_perphase_macro_f1,0.4,0.225,0.075,0.05
y2025_h00_o2025-04,C,canonical_0.2,0.2,0.2,0.2,0.2
y2025_h00_o2025-04,C,val_global_th_f2,0.125,0.125,0.125,0.125
y2025_h00_o2025-04,C,val_global_th_macro_f1,0.375,0.375,0.375,0.375
y2025_h00_o2025-04,C,val_perphase_th_macro_f1,0.375,0.3,0.2,0.075
y2025_h00_o2025-04,C,val_perphase_th_accuracy,0.35,0.325,0.2,0.05
y2025_h00_o2025-04,C,val_shift_calib_0.2,0.2,0.2,0.2,0.2
y2025_h00_o2025-04,C,val_isotonic_calib_0.2,0.2,0.2,0.2,0.2
y2025_h00_o2025-04,C,val_isotonic_then_perphase_macro_f1,0.4,0.225,0.075,0.05
y2025_h00_o2025-04,D,canonical_0.2,0.2,0.2,0.2,0.2
y2025_h00_o2025-04,D,val_global_th_f2,0.125,0.125,0.125,0.125
y2025_h00_o2025-04,D,val_global_th_macro_f1,0.25,0.25,0.25,0.25
y2025_h00_o2025-04,D,val_perphase_th_macro_f1,0.25,0.275,0.175,0.125
y2025_h00_o2025-04,D,val_perphase_th_accuracy,0.25,0.325,0.3,0.125
y2025_h00_o2025-04,D,val_shift_calib_0.2,0.2,0.2,0.2,0.2
y2025_h00_o2025-04,D,val_isotonic_calib_0.2,0.2,0.2,0.2,0.2
y2025_h00_o2025-04,D,val_isotonic_then_perphase_macro_f1,0.25,0.225,0.075,0.05
y2025_h00_o2025-07,A,canonical_0.2,0.2,0.2,0.2,0.2
y2025_h00_o2025-07,A,val_global_th_f2,0.125,0.125,0.125,0.125
y2025_h00_o2025-07,A,val_global_th_macro_f1,0.325,0.325,0.325,0.325
y2025_h00_o2025-07,A,val_perphase_th_macro_f1,0.4,0.325,0.175,0.075
y2025_h00_o2025-07,A,val_perphase_th_accuracy,0.325,0.325,0.2,0.075
y2025_h00_o2025-07,A,val_shift_calib_0.2,0.2,0.2,0.2,0.2
y2025_h00_o2025-07,A,val_isotonic_calib_0.2,0.2,0.2,0.2,0.2
y2025_h00_o2025-07,A,val_isotonic_then_perphase_macro_f1,0.425,0.25,0.1,0.05
y2025_h00_o2025-07,B,canonical_0.2,0.2,0.2,0.2,0.2
y2025_h00_o2025-07,B,val_global_th_f2,0.125,0.125,0.125,0.125
y2025_h00_o2025-07,B,val_global_th_macro_f1,0.375,0.375,0.375,0.375
y2025_h00_o2025-07,B,val_perphase_th_macro_f1,0.375,0.3,0.2,0.075
y2025_h00_o2025-07,B,val_perphase_th_accuracy,0.35,0.325,0.2,0.05
y2025_h00_o2025-07,B,val_shift_calib_0.2,0.2,0.2,0.2,0.2
y2025_h00_o2025-07,B,val_isotonic_calib_0.2,0.2,0.2,0.2,0.2
y2025_h00_o2025-07,B,val_isotonic_then_perphase_macro_f1,0.4,0.225,0.075,0.05
y2025_h00_o2025-07,C,canonical_0.2,0.2,0.2,0.2,0.2
y2025_h00_o2025-07,C,val_global_th_f2,0.125,0.125,0.125,0.125
y2025_h00_o2025-07,C,val_global_th_macro_f1,0.375,0.375,0.375,0.375
y2025_h00_o2025-07,C,val_perphase_th_macro_f1,0.375,0.3,0.2,0.075
y2025_h00_o2025-07,C,val_perphase_th_accuracy,0.35,0.325,0.2,0.05
y2025_h00_o2025-07,C,val_shift_calib_0.2,0.2,0.2,0.2,0.2
y2025_h00_o2025-07,C,val_isotonic_calib_0.2,0.2,0.2,0.2,0.2
y2025_h00_o2025-07,C,val_isotonic_then_perphase_macro_f1,0.4,0.225,0.075,0.05
y2025_h00_o2025-07,D,canonical_0.2,0.2,0.2,0.2,0.2
y2025_h00_o2025-07,D,val_global_th_f2,0.125,0.125,0.125,0.125
y2025_h00_o2025-07,D,val_global_th_macro_f1,0.25,0.25,0.25,0.25
y2025_h00_o2025-07,D,val_perphase_th_macro_f1,0.25,0.275,0.175,0.125
y2025_h00_o2025-07,D,val_perphase_th_accuracy,0.25,0.325,0.3,0.125
y2025_h00_o2025-07,D,val_shift_calib_0.2,0.2,0.2,0.2,0.2
y2025_h00_o2025-07,D,val_isotonic_calib_0.2,0.2,0.2,0.2,0.2
y2025_h00_o2025-07,D,val_isotonic_then_perphase_macro_f1,0.25,0.225,0.075,0.05
y2025_h00_o2025-09,A,canonical_0.2,0.2,0.2,0.2,0.2
y2025_h00_o2025-09,A,val_global_th_f2,0.125,0.125,0.125,0.125
y2025_h00_o2025-09,A,val_global_th_macro_f1,0.325,0.325,0.325,0.325
y2025_h00_o2025-09,A,val_perphase_th_macro_f1,0.4,0.325,0.175,0.075
y2025_h00_o2025-09,A,val_perphase_th_accuracy,0.325,0.325,0.2,0.075
y2025_h00_o2025-09,A,val_shift_calib_0.2,0.2,0.2,0.2,0.2
y2025_h00_o2025-09,A,val_isotonic_calib_0.2,0.2,0.2,0.2,0.2
y2025_h00_o2025-09,A,val_isotonic_then_perphase_macro_f1,0.425,0.25,0.1,0.05
y2025_h00_o2025-09,B,canonical_0.2,0.2,0.2,0.2,0.2
y2025_h00_o2025-09,B,val_global_th_f2,0.125,0.125,0.125,0.125
y2025_h00_o2025-09,B,val_global_th_macro_f1,0.375,0.375,0.375,0.375
y2025_h00_o2025-09,B,val_perphase_th_macro_f1,0.375,0.3,0.2,0.075
y2025_h00_o2025-09,B,val_perphase_th_accuracy,0.35,0.325,0.2,0.05
