job_id,arm,candidate,order,tp,fp,fn,f2
y2025_h00_o2025-04,A,X1,0,497,478,25,0.8112961149200131
y2025_h00_o2025-04,A,X2,1,501,498,21,0.8114674441205053
y2025_h00_o2025-04,A,X3,2,495,485,27,0.8067144719687093
y2025_h00_o2025-04,A,X4,3,502,512,20,0.8091553836234687
y2025_h00_o2025-04,A,X5,4,498,502,24,0.8063471502590673
y2025_h00_o2025-04,A,X6,5,488,476,34,0.799475753604194
y2025_h00_o2025-04,B,X1,0,501,501,21,0.8106796116504854
y2025_h00_o2025-04,B,X2,1,504,515,18,0.8110717734148697
y2025_h00_o2025-04,B,X3,2,500,503,22,0.8087997411840828
y2025_h00_o2025-04,B,X4,3,503,502,19,0.8131264144843194
y2025_h00_o2025-04,B,X5,4,502,491,20,0.8146705615060046
y2025_h00_o2025-04,B,X6,5,495,487,27,0.8061889250814332
y2025_h00_o2025-04,C,X1,0,501,501,21,0.8106796116504854
y2025_h00_o2025-04,C,X2,1,504,515,18,0.8110717734148697
y2025_h00_o2025-04,C,X3,2,500,503,22,0.8087997411840828
y2025_h00_o2025-04,C,X4,3,503,502,19,0.8131264144843194
y2025_h00_o2025-04,C,X5,4,502,491,20,0.8146705615060046
y2025_h00_o2025-04,C,X6,5,495,487,27,0.8061889250814332
y2025_h00_o2025-04,D,X1,0,421,285,101,0.7534001431639227
y2025_h00_o2025-04,D,X2,1,414,294,108,0.740343347639485
y2025_h00_o2025-04,D,X3,2,414,291,108,0.7411385606874329
y2025_h00_o2025-04,D,X4,3,424,285,98,0.7579549517340007
y2025_h00_o2025-04,D,X5,4,420,283,102,0.7524184879971336
y2025_h00_o2025-04,D,X6,5,401,285,121,0.7227829848594088
y2025_h00_o2025-07,A,X1,0,497,478,25,0.8112961149200131
y2025_h00_o2025-07,A,X2,1,501,498,21,0.8114674441205053
y2025_h00_o2025-07,A,X3,2,495,485,27,0.8067144719687093
y2025_h00_o2025-07,A,X4,3,502,512,20,0.8091553836234687
y2025_h00_o2025-07,A,X5,4,498,502,24,0.8063471502590673
y2025_h00_o2025-07,A,X6,5,488,476,34,0.799475753604194
y2025_h00_o2025-07,B,X1,0,501,501,21,0.8106796116504854
y2025_h00_o2025-07,B,X2,1,504,515,18,0.8110717734148697
y2025_h00_o2025-07,B,X3,2,500,503,22,0.8087997411840828
y2025_h00_o2025-07,B,X4,3,503,502,19,0.8131264144843194
y2025_h00_o2025-07,B,X5,4,502,491,20,0.8146705615060046
y2025_h00_o2025-07,B,X6,5,495,487,27,0.8061889250814332
y2025_h00_o2025-07,C,X1,0,501,501,21,0.8106796116504854
y2025_h00_o2025-07,C,X2,1,504,515,18,0.8110717734148697
y2025_h00_o2025-07,C,X3,2,500,503,22,0.8087997411840828
y2025_h00_o2025-07,C,X4,3,503,502,19,0.8131264144843194
y2025_h00_o2025-07,C,X5,4,502,491,20,0.8146705615060046
y2025_h00_o2025-07,C,X6,5,495,487,27,0.8061889250814332
y2025_h00_o2025-07,D,X1,0,421,285,101,0.7534001431639227
y2025_h00_o2025-07,D,X2,1,414,294,108,0.740343347639485
y2025_h00_o2025-07,D,X3,2,414,291,108,0.7411385606874329
y2025_h00_o2025-07,D,X4,3,424,285,98,0.7579549517340007
y2025_h00_o2025-07,D,X5,4,420,283,102,0.7524184879971336
y2025_h00_o2025-07,D,X6,5,401,285,121,0.7227829848594088
y2025_h00_o2025-09,A,X1,0,497,478,25,0.8112961149200131
y2025_h00_o2025-09,A,X2,1,501,498,21,0.8114674441205053
y2025_h00_o2025-09,A,X3,2,495,485,27,0.8067144719687093
y2025_h00_o2025-09,A,X4,3,502,512,20,0.8091553836234687
y2025_h00_o2025-09,A,X5,4,498,502,24,0.8063471502590673
y2025_h00_o2025-09,A,X6,5,488,476,34,0.799475753604194
y2025_h00_o2025-09,B,X1,0,501,501,21,0.8106796116504854
y2025_h00_o2025-09,B,X2,1,504,515,18,0.8110717734148697
y2025_h00_o2025-09,B,X3,2,500,503,22,0.8087997411840828
y2025_h00_o2025-09,B,X4,3,503,502,19,0.8131264144843194
y2025_h00_o2025-09,B,X5,4,502,491,20,0.8146705615060046
y2025_h00_o2025-09,B,X6,5,495,487,27,0.8061889250814332
y2025_h00_o2025-09,C,X1,0,501,501,21,0.8106796116504854
y2025_h00_o2025-09,C,X2,1,504,515,18,0.8110717734148697
y2025_h00_o2025-09,C,X3,2,500,503,22,0.8087997411840828
y2025_h00_o2025-09,C,X4,3,503,502,19,0.8131264144843194
y2025_h00_o2025-09,C,X5,4,502,491,20,0.8146705615060046
y2025_h00_o2025-09,C,X6,5,495,487,27,0.8061889250814332
y2025_h00_o2025-09,D,X1,0,421,285,101,0.7534001431639227
y2025_h00_o2025-09,D,X2,1,414,294,108,0.740343347639485
y2025_h00_o2025-09,D,X3,2,414,291,108,0.7411385606874329
y2025_h00_o2025-09,D,X4,3,424,285,98,0.7579549517340007
y2025_h00_o2025-09,D,X5,4,420,283,102,0.7524184879971336
y2025_h00_o2025-09,D,X6,5,401,285,121,0.7227829848594088
y2025_h00_o2025-10,A,X1,0,497,478,25,0.8112961149200131
y2025_h00_o2025-10,A,X2,1,501,498,21,0.8114674441205053
y2025_h00_o2025-10,A,X3,2,495,485,27,0.8067144719687093
y2025_h00_o2025-10,A,X4,3,502,512,20,0.8091553836234687
y2025_h00_o2025-10,A,X5,4,498,502,24,0.8063471502590673
y2025_h00_o2025-10,A,X6,5,488,476,34,0.799475753604194
