job_id,arm,validation_ord,inner_origin_ord,fit_label_cutoff_ord,n_fit,n_validation,fit_max_target_ord,supported,reason
y2025_h00_o2025-04,A,24283,24283,24282,1998,348,24278,True,
y2025_h00_o2025-04,A,24288,24288,24287,2346,356,24283,True,
y2025_h00_o2025-04,A,24294,24294,24293,2702,355,24288,True,
y2025_h00_o2025-04,B,24283,24283,24282,1998,348,24278,True,
y2025_h00_o2025-04,B,24288,24288,24287,2346,356,24283,True,
y2025_h00_o2025-04,B,24294,24294,24293,2702,355,24288,True,
y2025_h00_o2025-04,C,24283,24283,24282,1998,348,24278,True,
y2025_h00_o2025-04,C,24288,24288,24287,2346,356,24283,True,
y2025_h00_o2025-04,C,24294,24294,24293,2702,355,24288,True,
y2025_h00_o2025-04,D,24283,24283,24282,1998,348,24278,True,
y2025_h00_o2025-04,D,24288,24288,24287,2346,356,24283,True,
y2025_h00_o2025-04,D,24294,24294,24293,2702,355,24288,True,
y2025_h00_o2025-07,A,24283,24283,24282,1998,348,24278,True,
y2025_h00_o2025-07,A,24288,24288,24287,2346,356,24283,True,
y2025_h00_o2025-07,A,24294,24294,24293,2702,355,24288,True,
y2025_h00_o2025-07,B,24283,24283,24282,1998,348,24278,True,
y2025_h00_o2025-07,B,24288,24288,24287,2346,356,24283,True,
y2025_h00_o2025-07,B,24294,24294,24293,2702,355,24288,True,
y2025_h00_o2025-07,C,24283,24283,24282,1998,348,24278,True,
y2025_h00_o2025-07,C,24288,24288,24287,2346,356,24283,True,
y2025_h00_o2025-07,C,24294,24294,24293,2702,355,24288,True,
y2025_h00_o2025-07,D,24283,24283,24282,1998,348,24278,True,
y2025_h00_o2025-07,D,24288,24288,24287,2346,356,24283,True,
y2025_h00_o2025-07,D,24294,24294,24293,2702,355,24288,True,
y2025_h00_o2025-09,A,24283,24283,24282,1998,348,24278,True,
y2025_h00_o2025-09,A,24288,24288,24287,2346,356,24283,True,
y2025_h00_o2025-09,A,24294,24294,24293,2702,355,24288,True,
y2025_h00_o2025-09,B,24283,24283,24282,1998,348,24278,True,
y2025_h00_o2025-09,B,24288,24288,24287,2346,356,24283,True,
y2025_h00_o2025-09,B,24294,24294,24293,2702,355,24288,True,
y2025_h00_o2025-09,C,24283,24283,24282,1998,348,24278,True,
y2025_h00_o2025-09,C,24288,24288,24287,2346,356,24283,True,
y2025_h00_o2025-09,C,24294,24294,24293,2702,355,24288,True,
y2025_h00_o2025-09,D,24283,24283,24282,1998,348,24278,True,
y2025_h00_o2025-09,D,24288,24288,24287,2346,356,24283,True,
y2025_h00_o2025-09,D,24294,24294,24293,2702,355,24288,True,
y2025_h00_o2025-10,A,24283,24283,24282,1998,348,24278,True,
y2025_h00_o2025-10,A,24288,24288,24287,2346,356,24283,True,
y2025_h00_o2025-10,A,24294,24294,24293,2702,355,24288,True,
y2025_h00_o2025-10,B,24283,24283,24282,1998,348,24278,True,
y2025_h00_o2025-10,B,24288,24288,24287,2346,356,24283,True,
y2025_h00_o2025-10,B,24294,24294,24293,2702,355,24288,True,
y2025_h00_o2025-10,C,24283,24283,24282,1998,348,24278,True,
y2025_h00_o2025-10,C,24288,24288,24287,2346,356,24283,True,
y2025_h00_o2025-10,C,24294,24294,24293,2702,355,24288,True,
y2025_h00_o2025-10,D,24283,24283,24282,1998,348,24278,True,
y2025_h00_o2025-10,D,24288,24288,24287,2346,356,24283,True,
y2025_h00_o2025-10,D,24294,24294,24293,2702,355,24288,True,
y2025_h03_o2025-01,A,24283,24280,24280,1998,348,24278,True,
y2025_h03_o2025-01,A,24288,24285,24285,2346,356,24283,True,
