job_id,test_year,horizon,origin_ord,origin_month,target_month,candidate_years,n_eval_rows,n_primary_rows,n_fit_pool,fit_pool_max_target
y2025_h00_o2025-04,2025,0,24303,2025-04,2025-04,"[2022, 2023, 2024]",904,904,3057,2024-07
y2025_h00_o2025-07,2025,0,24306,2025-07,2025-07,"[2022, 2023, 2024]",64,64,3057,2024-07
y2025_h00_o2025-09,2025,0,24308,2025-09,2025-09,"[2022, 2023, 2024]",4,4,3057,2024-07
y2025_h00_o2025-10,2025,0,24309,2025-10,2025-10,"[2022, 2023, 2024]",904,904,3057,2024-07
y2026_h00_o2026-04,2026,0,24315,2026-04,2026-04,"[2023, 2024, 2025]",904,904,3804,2025-10
y2025_h03_o2025-01,2025,3,24300,2025-01,2025-04,"[2022, 2023, 2024]",904,132,3057,2024-07
y2025_h03_o2025-04,2025,3,24303,2025-04,2025-07,"[2022, 2023, 2024]",64,11,3057,2024-07
y2025_h03_o2025-06,2025,3,24305,2025-06,2025-09,"[2022, 2023, 2024]",4,0,3057,2024-07
y2025_h03_o2025-07,2025,3,24306,2025-07,2025-10,"[2022, 2023, 2024]",904,132,3057,2024-07
y2026_h03_o2026-01,2026,3,24312,2026-01,2026-04,"[2023, 2024, 2025]",904,0,3804,2025-10
y2025_h06_o2024-10,2025,6,24297,2024-10,2025-04,"[2022, 2023, 2024]",904,132,3057,2024-07
y2025_h06_o2025-01,2025,6,24300,2025-01,2025-07,"[2022, 2023, 2024]",64,11,3057,2024-07
y2025_h06_o2025-03,2025,6,24302,2025-03,2025-09,"[2022, 2023, 2024]",4,0,3057,2024-07
y2025_h06_o2025-04,2025,6,24303,2025-04,2025-10,"[2022, 2023, 2024]",904,132,3057,2024-07
y2026_h06_o2025-10,2026,6,24309,2025-10,2026-04,"[2023, 2024, 2025]",904,0,3804,2025-10
y2025_h12_o2024-04,2025,12,24291,2024-04,2025-04,"[2022, 2023, 2024]",904,904,2702,2024-01
y2025_h12_o2024-07,2025,12,24294,2024-07,2025-07,"[2022, 2023, 2024]",64,64,3057,2024-07
y2025_h12_o2024-09,2025,12,24296,2024-09,2025-09,"[2022, 2023, 2024]",4,0,3057,2024-07
y2025_h12_o2024-10,2025,12,24297,2024-10,2025-10,"[2022, 2023, 2024]",904,132,3057,2024-07
y2026_h12_o2025-04,2026,12,24303,2025-04,2026-04,"[2023, 2024, 2025]",904,132,2832,2025-04
