test_year,horizon,cohort,n_rows,n_areas,target_months,cohort_sha256,specification,status,reason,tp,fp,fn,tn,n,precision,precision_reason,recall,recall_reason,f1,f1_reason,f2,f2_reason,prevalence,accuracy,accuracy_reason,r2_q3,r2_q3_reason,predicted_prevalence,n_actual_phase1,n_pred_phase1,n_actual_phase2,n_pred_phase2,n_actual_phase3,n_pred_phase3,n_actual_phase4,n_pred_phase4,n_actual_phase5,n_pred_phase5,mean_q3_pred
2025,0,primary,1876,904,2025-04;2025-07;2025-09;2025-10,0feb5d4c0e199a45039e8d42a6a88ed0c7b6a8a0469f950a183f2eda1bf1e146,A,ok,,1004.0,842.0,3.0,27.0,1876.0,0.5438786565547129,,0.997020854021847,,0.7038205397826849,,0.8546135512427647,,0.5367803837953091,0.4968017057569296,,-0.38256277926294713,,0.9840085287846482,31.0,0.0,838.0,30.0,919.0,1842.0,88.0,4.0,0.0,0.0,0.30493697147570187
2025,0,primary,1876,904,2025-04;2025-07;2025-09;2025-10,0feb5d4c0e199a45039e8d42a6a88ed0c7b6a8a0469f950a183f2eda1bf1e146,B,ok,,988.0,843.0,19.0,26.0,1876.0,0.539595849262698,,0.9811320754716981,,0.6962649753347427,,0.843147294760198,,0.5367803837953091,0.48880597014925375,,-0.1967682539367015,,0.9760127931769723,31.0,0.0,838.0,45.0,919.0,1824.0,88.0,7.0,0.0,0.0,0.2772468836910562
2025,0,primary,1876,904,2025-04;2025-07;2025-09;2025-10,0feb5d4c0e199a45039e8d42a6a88ed0c7b6a8a0469f950a183f2eda1bf1e146,C,ok,,988.0,843.0,19.0,26.0,1876.0,0.539595849262698,,0.9811320754716981,,0.6962649753347427,,0.843147294760198,,0.5367803837953091,0.48880597014925375,,-0.1967682539367015,,0.9760127931769723,31.0,0.0,838.0,45.0,919.0,1824.0,88.0,7.0,0.0,0.0,0.2772468836910562
2025,0,primary,1876,904,2025-04;2025-07;2025-09;2025-10,0feb5d4c0e199a45039e8d42a6a88ed0c7b6a8a0469f950a183f2eda1bf1e146,D,ok,,951.0,626.0,56.0,243.0,1876.0,0.6030437539632213,,0.9443892750744787,,0.7360681114551083,,0.848349687778769,,0.5367803837953091,0.5751599147121536,,-0.3252402478155476,,0.8406183368869936,31.0,1.0,838.0,298.0,919.0,1498.0,88.0,79.0,0.0,0.0,0.29700731795861013
2025,0,primary,1876,904,2025-04;2025-07;2025-09;2025-10,0feb5d4c0e199a45039e8d42a6a88ed0c7b6a8a0469f950a183f2eda1bf1e146,always_crisis,ok,,1007.0,869.0,0.0,0.0,1876.0,0.5367803837953091,,1.0,,0.6985778702740201,,0.8528116531165312,,0.5367803837953091,,not applicable: binary-only reference,,not applicable: binary-only reference,,,,,,,,,,,,
2025,0,wider_labeled,1876,904,2025-04;2025-07;2025-09;2025-10,0feb5d4c0e199a45039e8d42a6a88ed0c7b6a8a0469f950a183f2eda1bf1e146,A,ok,,1004.0,842.0,3.0,27.0,1876.0,0.5438786565547129,,0.997020854021847,,0.7038205397826849,,0.8546135512427647,,0.5367803837953091,0.4968017057569296,,-0.38256277926294713,,0.9840085287846482,31.0,0.0,838.0,30.0,919.0,1842.0,88.0,4.0,0.0,0.0,0.30493697147570187
2025,0,wider_labeled,1876,904,2025-04;2025-07;2025-09;2025-10,0feb5d4c0e199a45039e8d42a6a88ed0c7b6a8a0469f950a183f2eda1bf1e146,B,ok,,988.0,843.0,19.0,26.0,1876.0,0.539595849262698,,0.9811320754716981,,0.6962649753347427,,0.843147294760198,,0.5367803837953091,0.48880597014925375,,-0.1967682539367015,,0.9760127931769723,31.0,0.0,838.0,45.0,919.0,1824.0,88.0,7.0,0.0,0.0,0.2772468836910562
2025,0,persistence_subset,1864,904,2025-04;2025-07;2025-09;2025-10,acb15f48d388c2b9e264593cad2f71c9f570d32547b58e8328ebd06b67d37c4c,A,ok,,1003.0,832.0,3.0,26.0,1864.0,0.5465940054495912,,0.9970178926441352,,0.7060894051390355,,0.8559481140126302,,0.5396995708154506,0.4989270386266094,,-0.37550317789853493,,0.9844420600858369,31.0,0.0,827.0,29.0,918.0,1831.0,88.0,4.0,0.0,0.0,0.3049960661391716
2025,0,persistence_subset,1864,904,2025-04;2025-07;2025-09;2025-10,acb15f48d388c2b9e264593cad2f71c9f570d32547b58e8328ebd06b67d37c4c,B,ok,,987.0,834.0,19.0,24.0,1864.0,0.5420098846787479,,0.9811133200795229,,0.6982667138309162,,0.844311377245509,,0.5396995708154506,0.490343347639485,,-0.19061682682673453,,0.976931330472103,31.0,0.0,827.0,43.0,918.0,1814.0,88.0,7.0,0.0,0.0,0.27722311080653267
2025,0,persistence_subset,1864,904,2025-04;2025-07;2025-09;2025-10,acb15f48d388c2b9e264593cad2f71c9f570d32547b58e8328ebd06b67d37c4c,C,ok,,987.0,834.0,19.0,24.0,1864.0,0.5420098846787479,,0.9811133200795229,,0.6982667138309162,,0.844311377245509,,0.5396995708154506,0.490343347639485,,-0.19061682682673453,,0.976931330472103,31.0,0.0,827.0,43.0,918.0,1814.0,88.0,7.0,0.0,0.0,0.27722311080653267
2025,0,persistence_subset,1864,904,2025-04;2025-07;2025-09;2025-10,acb15f48d388c2b9e264593cad2f71c9f570d32547b58e8328ebd06b67d37c4c,D,ok,,950.0,615.0,56.0,243.0,1864.0,0.6070287539936102,,0.9443339960238568,,0.7390120575651498,,0.849883700125246,,0.5396995708154506,0.5783261802575107,,-0.30396734992450125,,0.8395922746781116,31.0,1.0,827.0,298.0,918.0,1486.0,88.0,79.0,0.0,0.0,0.2964134973997466
2025,0,persistence_subset,1864,904,2025-04;2025-07;2025-09;2025-10,acb15f48d388c2b9e264593cad2f71c9f570d32547b58e8328ebd06b67d37c4c,persistence,ok,,738.0,251.0,268.0,607.0,1864.0,0.7462082912032356,,0.7335984095427436,,0.7398496240601504,,0.7360861759425493,,0.5396995708154506,0.6013948497854077,,,not applicable: phase-only baseline,,,,,,,,,,,,
2025,0,persistence_subset,1864,904,2025-04;2025-07;2025-09;2025-10,acb15f48d388c2b9e264593cad2f71c9f570d32547b58e8328ebd06b67d37c4c,always_crisis,ok,,1006.0,858.0,0.0,0.0,1864.0,0.5396995708154506,,1.0,,0.7010452961672474,,0.8542798913043478,,0.5396995708154506,,not applicable: binary-only reference,,not applicable: binary-only reference,,,,,,,,,,,,
2025,3,primary,275,132,2025-04;2025-07;2025-10,5c22fe6c1f45b7a6642c5825a7ce3047579c116bde74b10be725d0022330869a,A,ok,,133.0,135.0,7.0,0.0,275.0,0.4962686567164179,,0.95,,0.6519607843137255,,0.8031400966183575,,0.509090909090909,0.4618181818181818,,-0.7462403116026786,,0.9745454545454545,7.0,0.0,128.0,7.0,127.0,268.0,13.0,0.0,0.0,0.0,0.3010905061526732
2025,3,primary,275,132,2025-04;2025-07;2025-10,5c22fe6c1f45b7a6642c5825a7ce3047579c116bde74b10be725d0022330869a,B,ok,,129.0,132.0,11.0,3.0,275.0,0.4942528735632184,,0.9214285714285714,,0.6433915211970075,,0.7856272838002436,,0.509090909090909,0.4618181818181818,,-0.5797303369488405,,0.9490909090909091,7.0,0.0,128.0,14.0,127.0,255.0,13.0,6.0,0.0,0.0,0.29721362428231674
