test_year,horizon,cohort,specification,n_rows_before,f2_before,f2_after,accuracy_before,accuracy_after,r2_q3_before,r2_q3_after
2025,0,primary,A,1876,0.8546135512427647,0.8546135512427647,0.4968017057569296,0.4968017057569296,-0.3825627792629471,-0.3825627792629471
2025,0,primary,B,1876,0.843147294760198,0.843147294760198,0.4888059701492537,0.4888059701492537,-0.1967682539367015,-0.1967682539367015
2025,0,primary,C,1876,0.843147294760198,0.843147294760198,0.4888059701492537,0.4888059701492537,-0.1967682539367015,-0.1967682539367015
2025,0,primary,D,1876,0.848349687778769,0.848349687778769,0.5751599147121536,0.5751599147121536,-0.3252402478155476,-0.3252402478155476
2025,0,primary,always_crisis,1876,0.8528116531165312,0.8528116531165312,,,,
2025,0,wider_labeled,A,1876,0.8546135512427647,0.8546135512427647,0.4968017057569296,0.4968017057569296,-0.3825627792629471,-0.3825627792629471
2025,0,wider_labeled,B,1876,0.843147294760198,0.843147294760198,0.4888059701492537,0.4888059701492537,-0.1967682539367015,-0.1967682539367015
2025,0,persistence_subset,A,1864,0.8559481140126302,0.8559481140126302,0.4989270386266094,0.4989270386266094,-0.3755031778985349,-0.3755031778985349
2025,0,persistence_subset,B,1864,0.844311377245509,0.844311377245509,0.490343347639485,0.490343347639485,-0.1906168268267345,-0.1906168268267345
2025,0,persistence_subset,C,1864,0.844311377245509,0.844311377245509,0.490343347639485,0.490343347639485,-0.1906168268267345,-0.1906168268267345
2025,0,persistence_subset,D,1864,0.849883700125246,0.849883700125246,0.5783261802575107,0.5783261802575107,-0.3039673499245012,-0.3039673499245012
2025,0,persistence_subset,persistence,1864,0.7360861759425493,0.7360861759425493,0.6013948497854077,0.6013948497854077,,
2025,0,persistence_subset,always_crisis,1864,0.8542798913043478,0.8542798913043478,,,,
2025,3,primary,A,275,0.8132530120481928,0.8031400966183575,0.4618181818181818,0.4618181818181818,-0.8624741207403859,-0.7462403116026786
2025,3,primary,B,275,0.8031400966183575,0.7856272838002436,0.4581818181818182,0.4618181818181818,-0.8327700964125533,-0.5797303369488405
2025,3,primary,C,275,0.8031400966183575,0.7929782082324455,0.4545454545454545,0.4618181818181818,-1.1775760955691883,-0.6410952869797004
2025,3,primary,D,275,0.7542262678803641,0.7542262678803641,0.5309090909090909,0.5563636363636364,-0.3020780588989196,-0.3020780588989196
2025,3,primary,always_crisis,275,0.8383233532934131,0.8383233532934131,,,,
2025,3,wider_labeled,A,1876,0.8368806402179465,0.8334753707175728,0.4914712153518124,0.4925373134328358,-0.6344539187196052,-0.5075894222391557
2025,3,wider_labeled,B,1876,0.8339017735334243,0.8234790059982862,0.4909381663113006,0.4914712153518124,-0.5967596927998533,-0.4803718082446317
2025,3,persistence_subset,A,270,0.8160779537149817,0.8058608058608059,0.4666666666666667,0.4666666666666667,-0.8251154693350722,-0.6998897788543925
2025,3,persistence_subset,B,270,0.8058608058608059,0.7881773399014779,0.4629629629629629,0.4666666666666667,-0.8022611855287936,-0.5465890828269333
2025,3,persistence_subset,C,270,0.8058608058608059,0.795593635250918,0.4592592592592592,0.4666666666666667,-1.1315578347753703,-0.6025244567874843
2025,3,persistence_subset,D,270,0.756578947368421,0.756578947368421,0.5370370370370371,0.562962962962963,-0.2469707852778162,-0.2469707852778162
2025,3,persistence_subset,persistence,270,0.6496350364963503,0.6496350364963503,0.5592592592592592,0.5592592592592592,,
2025,3,persistence_subset,always_crisis,270,0.8414043583535109,0.8414043583535109,,,,
2025,6,primary,A,275,0.8272058823529411,0.8312958435207825,0.4909090909090909,0.4945454545454545,-0.0198629017432321,-0.1083361212531219
2025,6,primary,B,275,0.8464328899637243,0.8413461538461539,0.4909090909090909,0.4727272727272727,-0.1900462162750205,-0.2674469375019066
2025,6,primary,C,275,0.8414634146341463,0.8393719806763285,0.5018181818181818,0.48,-0.2393119477866816,-0.2902568746646892
2025,6,primary,D,275,0.8467243510506799,0.845679012345679,0.5345454545454545,0.5309090909090909,-0.2651674379253033,-0.2382995337748288
2025,6,primary,always_crisis,275,0.8383233532934131,0.8383233532934131,,,,
2025,6,wider_labeled,A,1876,0.8411785216178521,0.854336867721189,0.5325159914712153,0.5431769722814499,0.0210688416416356,-0.0830144575643194
2025,6,wider_labeled,B,1876,0.8549356223175966,0.8537005163511188,0.5191897654584222,0.5218550106609808,-0.1339910702367923,-0.1307324420685607
2025,6,persistence_subset,A,269,0.8291770573566085,0.8333333333333334,0.4981412639405204,0.5018587360594795,0.0087299285101029,-0.0772757562192114
2025,6,persistence_subset,B,269,0.8487084870848709,0.843520782396088,0.4981412639405204,0.4795539033457249,-0.1564563195075234,-0.2370563363268296
2025,6,persistence_subset,C,269,0.8436724565756824,0.8415233415233415,0.5092936802973977,0.4869888475836431,-0.2091415714486288,-0.2594964658498162
2025,6,persistence_subset,D,269,0.8490566037735849,0.8479899497487438,0.5464684014869888,0.5427509293680297,-0.2116488052242571,-0.1849691019569719
2025,6,persistence_subset,persistence,269,0.6463595839524517,0.6463595839524517,0.5910780669144982,0.5910780669144982,,
2025,6,persistence_subset,always_crisis,269,0.8404384896467723,0.8404384896467723,,,,
2025,12,primary,A,1100,0.760904170646291,0.760904170646291,0.419090909090909,0.419090909090909,-0.2053082450211965,-0.2053082450211965
2025,12,primary,B,1100,0.77275600505689,0.77275600505689,0.4163636363636364,0.4163636363636364,-0.1358866909988774,-0.1358866909988774
2025,12,primary,C,1100,0.8076083567196757,0.8076083567196757,0.43,0.43,-0.2230898028216708,-0.2230898028216708
2025,12,primary,D,1100,0.7740788623141565,0.7740788623141565,0.4718181818181818,0.4718181818181818,-0.1430702825524044,-0.1430702825524044
2025,12,primary,always_crisis,1100,0.8277027027027027,0.8277027027027027,,,,
2025,12,wider_labeled,A,1876,0.8055555555555556,0.8055555555555556,0.4866737739872068,0.4866737739872068,-0.1673821895340683,-0.1673821895340683
2025,12,wider_labeled,B,1876,0.8156028368794326,0.8156028368794326,0.488272921108742,0.488272921108742,-0.1271693163263654,-0.1271693163263654
2025,12,persistence_subset,A,1077,0.7622739018087855,0.7622739018087855,0.4215413184772516,0.4215413184772516,-0.1922032868934109,-0.1922032868934109
2025,12,persistence_subset,B,1077,0.7747834456207893,0.7747834456207893,0.4206128133704735,0.4206128133704735,-0.1286573956617853,-0.1286573956617853
2025,12,persistence_subset,C,1077,0.8098702942106928,0.8098702942106928,0.4336118848653668,0.4336118848653668,-0.2090359800842514,-0.2090359800842514
2025,12,persistence_subset,D,1077,0.776173285198556,0.776173285198556,0.4772516248839368,0.4772516248839368,-0.1266175966315659,-0.1266175966315659
2025,12,persistence_subset,persistence,1077,0.7100700848395426,0.7100700848395426,0.5450324976787372,0.5450324976787372,,
2025,12,persistence_subset,always_crisis,1077,0.8304767840448738,0.8304767840448738,,,,
2026,0,primary,A,904,0.8816818774445893,0.8816818774445893,0.3871681415929203,0.3871681415929203,-0.0845985425863897,-0.0845985425863897
2026,0,primary,B,904,0.8816818774445893,0.8816818774445893,0.3882743362831858,0.3882743362831858,-0.1169083762457146,-0.1169083762457146
2026,0,primary,C,904,0.8816818774445893,0.8816818774445893,0.3882743362831858,0.3882743362831858,-0.1169083762457146,-0.1169083762457146
2026,0,primary,D,904,0.8661284897410023,0.8661284897410023,0.4380530973451327,0.4380530973451327,0.0997526756362213,0.0997526756362213
2026,0,primary,always_crisis,904,0.8816818774445893,0.8816818774445893,,,,
2026,0,wider_labeled,A,904,0.8816818774445893,0.8816818774445893,0.3871681415929203,0.3871681415929203,-0.0845985425863897,-0.0845985425863897
2026,0,wider_labeled,B,904,0.8816818774445893,0.8816818774445893,0.3882743362831858,0.3882743362831858,-0.1169083762457146,-0.1169083762457146
2026,0,persistence_subset,A,904,0.8816818774445893,0.8816818774445893,0.3871681415929203,0.3871681415929203,-0.0845985425863897,-0.0845985425863897
2026,0,persistence_subset,B,904,0.8816818774445893,0.8816818774445893,0.3882743362831858,0.3882743362831858,-0.1169083762457146,-0.1169083762457146
2026,0,persistence_subset,C,904,0.8816818774445893,0.8816818774445893,0.3882743362831858,0.3882743362831858,-0.1169083762457146,-0.1169083762457146
2026,0,persistence_subset,D,904,0.8661284897410023,0.8661284897410023,0.4380530973451327,0.4380530973451327,0.0997526756362213,0.0997526756362213
2026,0,persistence_subset,persistence,904,0.8284023668639053,0.8284023668639053,0.6061946902654868,0.6061946902654868,,
2026,0,persistence_subset,always_crisis,904,0.8816818774445893,0.8816818774445893,,,,
2026,3,primary,all,0,,,,,,
2026,3,wider_labeled,A,904,0.8816818774445893,0.8816818774445893,0.3871681415929203,0.3871681415929203,-0.1193914372185163,-0.118108802487495
2026,3,wider_labeled,B,904,0.8817766165904638,0.880718954248366,0.3672566371681416,0.3827433628318584,-0.0464018983283627,-0.0059954105626518
2026,3,persistence_subset,all,0,,,,,,
2026,6,primary,all,0,,,,,,
2026,6,wider_labeled,A,904,0.884196634774002,0.8771353482260184,0.4192477876106195,0.3982300884955752,0.1860209557947115,0.1675045525377909
2026,6,wider_labeled,B,904,0.8451656524678837,0.8815745947734039,0.4192477876106195,0.4203539823008849,0.2067270697329247,0.1417560102147665
2026,6,persistence_subset,all,0,,,,,,
2026,12,primary,A,132,0.8004640371229699,0.8004640371229699,0.4469696969696969,0.4469696969696969,-0.0624239239824144,-0.0624239239824144
2026,12,primary,B,132,0.8881578947368421,0.8881578947368421,0.4242424242424242,0.4242424242424242,-0.0496146526753098,-0.0496146526753098
2026,12,primary,C,132,0.8555555555555555,0.8555555555555555,0.4090909090909091,0.4090909090909091,0.048199721616135,0.048199721616135
2026,12,primary,D,132,0.8294930875576036,0.8294930875576036,0.4545454545454545,0.4545454545454545,0.05059066864,0.05059066864
2026,12,primary,always_crisis,132,0.8881578947368421,0.8881578947368421,,,,
2026,12,wider_labeled,A,904,0.8324924318869829,0.8324924318869829,0.3993362831858407,0.3993362831858407,-0.0569606463045262,-0.0569606463045262
