job_id,view,target,bundle,kind,n_rows,path,sha256,feature_order_sha256
y2025_h00_o2025-04,A,q2,X3,xgboost,3057,y2025_h00_o2025-04_A_q2.ubj,90da69f932c96472a447798237002ccec63276d8c1f9195bae0592eda2c18e58,ecc9ddb17c6e594e74f015bdda23a088bc9382061af006b77e3ec543d33759b7
y2025_h00_o2025-04,A,q4,X3,xgboost,3057,y2025_h00_o2025-04_A_q4.ubj,245e944882db432b3ea1e90c2a4e1d5f9381668e0bb5bfea2486d6e4805c9fd5,ecc9ddb17c6e594e74f015bdda23a088bc9382061af006b77e3ec543d33759b7
y2025_h00_o2025-04,A,q5,X3,xgboost,3057,y2025_h00_o2025-04_A_q5.ubj,8f2dcd6b54b059704cbe1a257a78dc7ba53570ff68abe5a0891b2cd33da55ae0,ecc9ddb17c6e594e74f015bdda23a088bc9382061af006b77e3ec543d33759b7
y2025_h00_o2025-04,A,q3_direct,X3,xgboost,3057,y2025_h00_o2025-04_A_q3_direct.ubj,de5a0bbabdc81a24b42695c6c91c1305052a5babd67e014308ace2c574eef1f1,ecc9ddb17c6e594e74f015bdda23a088bc9382061af006b77e3ec543d33759b7
y2025_h00_o2025-04,B,q2,X1,xgboost,3057,y2025_h00_o2025-04_B_q2.ubj,f13dc46b335192bca8b2f5977a34acc0cd716942a0d91be124880da57bb0c77d,fceaa4e1de1f117a9959f074f29bb3e82be3ea8eddc4bc9848e7e3e8d3187001
y2025_h00_o2025-04,B,q4,X1,xgboost,3057,y2025_h00_o2025-04_B_q4.ubj,e01061c9b7f3a3836d47521dcede05710f9c546bfe35f89dbb5755fafb2ae55f,fceaa4e1de1f117a9959f074f29bb3e82be3ea8eddc4bc9848e7e3e8d3187001
y2025_h00_o2025-04,B,q5,X1,xgboost,3057,y2025_h00_o2025-04_B_q5.ubj,237739ea33e6ebc548185b45b49ba9c18c7301169ef5910f8f26525c3d0ba464,fceaa4e1de1f117a9959f074f29bb3e82be3ea8eddc4bc9848e7e3e8d3187001
y2025_h00_o2025-04,B,q3_direct,X1,xgboost,3057,y2025_h00_o2025-04_B_q3_direct.ubj,d98a870f44a116fc97934592a1d0706425f3c0e56dfb22679c3f4ba9be315543,fceaa4e1de1f117a9959f074f29bb3e82be3ea8eddc4bc9848e7e3e8d3187001
y2025_h00_o2025-04,D_direct,q2,X1,xgboost,3057,y2025_h00_o2025-04_D_direct_q2.ubj,ee24aab30f6e5107a4b664e2296c9078a6f7dac23fa4b4ef36805d2eaafa0997,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2025_h00_o2025-04,D_direct,q4,X1,xgboost,3057,y2025_h00_o2025-04_D_direct_q4.ubj,8ce795ac3697da2f6efc8e1b5c8628118e8c2d4df1d6202c9515d96098152052,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
