branch,fold,view,formulation,bundle,bundle_order,method,method_order,formulation_order,status,reason,n,rmse,auc
original,2025,D_direct,direct,X1,0,none,0,0,ok,,1058,0.17182039370146188,0.7217145717145717
original,2025,D_direct,direct,X1,0,shift,1,0,ok,,1058,0.15475295515298845,0.7260617760617761
original,2025,D_direct,direct,X1,0,isotonic,2,0,ok,,1058,0.1580401428381315,0.7039271414271414
original,2025,D_direct,direct,X2,1,none,0,0,ok,,1058,0.17885073115434486,0.7278886028886028
original,2025,D_direct,direct,X2,1,shift,1,0,ok,,1058,0.15895502966323474,0.7326254826254825
original,2025,D_direct,direct,X2,1,isotonic,2,0,ok,,1058,0.16489435779653136,0.7004969254969255
original,2025,D_direct,direct,X3,2,none,0,0,ok,,1058,0.18386371917472516,0.7221542971542971
original,2025,D_direct,direct,X3,2,shift,1,0,ok,,1058,0.16259637294369322,0.7276884026884026
original,2025,D_direct,direct,X3,2,isotonic,2,0,ok,,1058,0.1663262011406915,0.7046975546975548
original,2025,D_direct,direct,X4,3,none,0,0,ok,,1058,0.17481693537824644,0.733083083083083
original,2025,D_direct,direct,X4,3,shift,1,0,ok,,1058,0.15640564685099154,0.7373981123981124
original,2025,D_direct,direct,X4,3,isotonic,2,0,ok,,1058,0.16236024538588,0.6828167453167453
original,2025,D_direct,direct,X5,4,none,0,0,ok,,1058,0.17913453317572414,0.7310882310882311
original,2025,D_direct,direct,X5,4,shift,1,0,ok,,1058,0.15991725963823425,0.7359109109109109
original,2025,D_direct,direct,X5,4,isotonic,2,0,ok,,1058,0.16537000454857662,0.6820159445159446
original,2025,D_direct,direct,X6,5,none,0,0,ok,,1058,0.1761410409382327,0.7161876161876162
original,2025,D_direct,direct,X6,5,shift,1,0,ok,,1058,0.17059276676870602,0.7145538395538396
original,2025,D_direct,direct,X6,5,isotonic,2,0,ok,,1058,0.1730143282878114,0.6811114686114687
original,2025,D_residual,residual,X1,0,none,0,1,ok,,1058,0.1696208888568478,0.7470935220935221
original,2025,D_residual,residual,X1,0,shift,1,1,ok,,1058,0.166838965133213,0.7483340483340483
original,2025,D_residual,residual,X1,0,isotonic,2,1,ok,,1058,0.15840350231115055,0.7209888459888459
original,2025,D_residual,residual,X2,1,none,0,1,ok,,1058,0.17361974302208028,0.7405655655655655
original,2025,D_residual,residual,X2,1,shift,1,1,ok,,1058,0.16972609116341406,0.7446732446732447
original,2025,D_residual,residual,X2,1,isotonic,2,1,ok,,1058,0.16128722189440395,0.7145127270127272
