check,pass,detail
copy_keys_unique,True,
copy_values_equal_original,True,
copies_inside_linked_window,True,
copy_family_is_linked_anl,True,
copy_availability_is_original_month,True,
copies_only_training_years,True,
copies_never_history,True,
link_unique_start_2022-01,True,
link_unique_start_2022-05,True,
link_unique_start_2022-07,True,
link_unique_start_2022-10,True,
link_unique_start_2023-01,True,
link_unique_start_2023-03,True,
link_unique_start_2023-08,True,
link_unique_start_2024-01,True,
link_unique_start_2024-07,True,
link_unique_start_2026-04,True,
recipients_blank_in_raw,True,
originals_unchanged_vs_raw,True,
oof_labels_before_round_origin,True,
oof_available_by_origin,True,
oof_pools_exclude_round_families,True,
original_branch_oof_pools_have_no_copies,True,
final_fit_labels_before_origin,True,
final_fit_sources_available,True,
final_fit_no_test_year,True,
original_branch_has_no_copies,True,
augmented_branch_uses_copies,True,
copy_history_before_own_report_h0,True,
history_cutoff_rule_h0,True,
copy_history_before_own_report_h3,True,
history_cutoff_rule_h3,True,
copy_history_before_own_report_h6,True,
history_cutoff_rule_h6,True,
copy_history_before_own_report_h12,True,
history_cutoff_rule_h12,True,
equal_search_budgets,True,
candidate_rmse_replay,True,
selection_augmented_2025_D_direct,True,
selection_augmented_2025_D_residual,True,
selection_augmented_2025_D_selected,True,
selection_augmented_2026_D_direct,True,
selection_augmented_2026_D_residual,True,
selection_augmented_2026_D_selected,True,
selection_original_2025_D_direct,True,
selection_original_2025_D_residual,True,
selection_original_2025_D_selected,True,
selection_original_2026_D_direct,True,
selection_original_2026_D_residual,True,
selection_original_2026_D_selected,True,
rounds_distinct_originals_augmented_2025,True,
calibration_before_round_augmented_2025_2023-08,True,
calibration_before_round_augmented_2025_2024-01,True,
calibration_before_round_augmented_2025_2024-07,True,
rounds_distinct_originals_augmented_2026,True,
calibration_before_round_augmented_2026_2025-07,True,
calibration_before_round_augmented_2026_2025-09,True,
calibration_before_round_augmented_2026_2025-10,True,
rounds_distinct_originals_original_2025,True,
calibration_before_round_original_2025_2023-08,True,
calibration_before_round_original_2025_2024-01,True,
calibration_before_round_original_2025_2024-07,True,
rounds_distinct_originals_original_2026,True,
calibration_before_round_original_2026_2025-07,True,
calibration_before_round_original_2026_2025-09,True,
calibration_before_round_original_2026_2025-10,True,
original_rounds_have_no_copies,True,
mapping_rows_y2025_h00_o2025-04_original_D_direct_direct,True,
mapping_rows_available_y2025_h00_o2025-04_original_D_direct_direct,True,
mapping_shift_y2025_h00_o2025-04_original_D_direct_direct,True,
mapping_rows_y2025_h00_o2025-04_original_D_residual_residual,True,
mapping_rows_available_y2025_h00_o2025-04_original_D_residual_residual,True,
mapping_isotonic_y2025_h00_o2025-04_original_D_residual_residual,True,
mapping_rows_y2025_h00_o2025-04_original_D_residual_fallback_direct,True,
mapping_rows_available_y2025_h00_o2025-04_original_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h00_o2025-04_original_D_residual_fallback_direct,True,
mapping_rows_y2025_h00_o2025-04_original_D_selected_direct,True,
mapping_rows_available_y2025_h00_o2025-04_original_D_selected_direct,True,
