polygon_id,year,n,TP_count,TN_count,FP_count,FN_count,error_rate,accuracy
12138311,2023,180,36,144,0,0,0.0,1.0
12138313,2023,180,0,180,0,0,0.0,1.0
12138315,2023,180,0,144,0,36,0.2,0.8
12138317,2023,180,0,180,0,0,0.0,1.0
12138319,2023,180,0,180,0,0,0.0,1.0
12140932,2023,180,0,131,0,49,0.2722222222222222,0.7277777777777777
12140938,2023,180,0,144,0,36,0.2,0.8
12140952,2023,180,0,180,0,0,0.0,1.0
12140964,2023,180,0,180,0,0,0.0,1.0
12140973,2023,180,16,131,0,33,0.18333333333333332,0.8166666666666667
12140979,2023,180,0,180,0,0,0.0,1.0
12140985,2023,180,22,135,23,0,0.12777777777777777,0.8722222222222222
12148871,2023,180,0,180,0,0,0.0,1.0
12148874,2023,180,0,180,0,0,0.0,1.0
12148889,2023,180,0,144,0,36,0.2,0.8
12148892,2023,180,16,131,0,33,0.18333333333333332,0.8166666666666667
12148898,2023,180,0,131,0,49,0.2722222222222222,0.7277777777777777
12152175,2022,180,130,0,50,0,0.2777777777777778,0.7222222222222222
12152179,2022,180,81,65,34,0,0.18888888888888888,0.8111111111111111
12152181,2022,180,81,83,0,16,0.08888888888888889,0.9111111111111111
12152185,2022,180,64,17,49,50,0.55,0.45
12152187,2022,180,67,33,32,48,0.4444444444444444,0.5555555555555556
12152189,2022,180,0,81,16,83,0.55,0.45
12152193,2022,180,17,130,16,17,0.18333333333333332,0.8166666666666667
12152464,2022,180,17,98,0,65,0.3611111111111111,0.6388888888888888
12152466,2022,180,33,49,50,48,0.5444444444444444,0.45555555555555555
12152468,2022,180,32,49,0,99,0.55,0.45
12152472,2022,180,16,66,65,33,0.5444444444444444,0.45555555555555555
12152474,2022,180,17,0,0,163,0.9055555555555556,0.09444444444444444
12152476,2022,180,114,0,0,66,0.36666666666666664,0.6333333333333333
12152478,2022,180,32,0,0,148,0.8222222222222222,0.17777777777777778
12152480,2022,180,0,0,0,180,1.0,0.0
12152482,2022,180,115,33,0,32,0.17777777777777778,0.8222222222222222
12152486,2022,180,65,0,16,99,0.6388888888888888,0.3611111111111111
12152488,2022,180,98,0,0,82,0.45555555555555555,0.5444444444444444
12152490,2022,180,17,32,81,50,0.7277777777777777,0.2722222222222222
12152492,2022,180,17,16,0,147,0.8166666666666667,0.18333333333333332
12152494,2022,180,16,17,16,131,0.8166666666666667,0.18333333333333332
12152496,2022,180,32,0,0,148,0.8222222222222222,0.17777777777777778
12152498,2022,180,16,49,16,99,0.6388888888888888,0.3611111111111111
12152500,2022,180,16,33,0,131,0.7277777777777777,0.2722222222222222
12152502,2022,180,0,17,0,163,0.9055555555555556,0.09444444444444444
12152504,2022,180,17,0,0,163,0.9055555555555556,0.09444444444444444
12152506,2022,180,17,131,0,32,0.17777777777777778,0.8222222222222222
12152508,2022,180,32,49,0,99,0.55,0.45
12152510,2022,180,32,32,16,100,0.6444444444444445,0.35555555555555557
12152512,2022,180,34,0,16,130,0.8111111111111111,0.18888888888888888
12152514,2022,180,16,33,16,115,0.7277777777777777,0.2722222222222222
12152516,2022,180,97,0,0,83,0.46111111111111114,0.5388888888888889
12152518,2022,180,82,16,17,65,0.45555555555555555,0.5444444444444444
12152520,2022,180,0,66,32,82,0.6333333333333333,0.36666666666666664
12166831,2023,180,180,0,0,0,0.0,1.0
12166831,2024,180,180,0,0,0,0.0,1.0
12166839,2024,360,360,0,0,0,0.0,1.0
12166893,2024,360,180,30,120,30,0.4166666666666667,0.5833333333333334
12166896,2024,360,270,0,60,30,0.25,0.75
12166899,2024,360,120,90,105,45,0.4166666666666667,0.5833333333333334
12166902,2023,360,15,300,30,15,0.125,0.875
12166905,2024,360,270,0,60,30,0.25,0.75
12166908,2023,225,0,225,0,0,0.0,1.0
12166908,2024,135,135,0,0,0,0.0,1.0
12166911,2024,360,105,75,60,120,0.5,0.5
12166914,2024,360,225,15,45,75,0.3333333333333333,0.6666666666666666
12166917,2024,360,60,180,105,15,0.3333333333333333,0.6666666666666666
12166920,2024,360,150,90,90,30,0.3333333333333333,0.6666666666666666
12166923,2024,360,195,15,75,75,0.4166666666666667,0.5833333333333334
12166926,2024,360,195,15,105,45,0.4166666666666667,0.5833333333333334
12166929,2024,360,60,90,150,60,0.5833333333333334,0.4166666666666667
12166932,2023,360,0,345,0,15,0.041666666666666664,0.9583333333333334
12166935,2023,360,0,345,0,15,0.041666666666666664,0.9583333333333334
12166938,2024,360,165,90,105,0,0.2916666666666667,0.7083333333333334
12166941,2024,360,180,15,150,15,0.4583333333333333,0.5416666666666666
12166944,2024,360,105,105,120,30,0.4166666666666667,0.5833333333333334
12166947,2024,360,60,75,210,15,0.625,0.375
12166950,2024,360,90,75,195,0,0.5416666666666666,0.4583333333333333
12166953,2024,360,150,45,120,45,0.4583333333333333,0.5416666666666666
12166956,2024,360,90,45,180,45,0.625,0.375
12166959,2023,360,0,330,0,30,0.08333333333333333,0.9166666666666666
12166962,2023,360,30,330,0,0,0.0,1.0
12166965,2024,360,225,30,45,60,0.2916666666666667,0.7083333333333334
12166968,2024,360,225,15,15,105,0.3333333333333333,0.6666666666666666
12166971,2023,360,30,330,0,0,0.0,1.0
12166974,2023,360,0,315,15,30,0.125,0.875
12166977,2024,540,405,45,15,75,0.16666666666666666,0.8333333333333334
12166980,2024,360,45,210,45,60,0.2916666666666667,0.7083333333333334
12166983,2024,360,135,90,135,0,0.375,0.625
12166986,2024,360,60,135,150,15,0.4583333333333333,0.5416666666666666
12166989,2024,360,210,30,105,15,0.3333333333333333,0.6666666666666666
12166992,2024,360,270,15,75,0,0.20833333333333334,0.7916666666666666
12174533,2024,180,180,0,0,0,0.0,1.0
12499319,2024,180,180,0,0,0,0.0,1.0
12511537,2024,360,180,0,180,0,0.5,0.5
12511571,2024,360,360,0,0,0,0.0,1.0
12527613,2024,360,360,0,0,0,0.0,1.0
12693342,2024,360,360,0,0,0,0.0,1.0
12693375,2024,360,180,0,180,0,0.5,0.5
12851443,2024,180,0,0,180,0,1.0,0.0
12856216,2024,360,180,30,120,30,0.4166666666666667,0.5833333333333334
12856219,2024,360,270,0,60,30,0.25,0.75
12856222,2023,360,0,345,0,15,0.041666666666666664,0.9583333333333334
12856225,2023,360,0,330,0,30,0.08333333333333333,0.9166666666666666
12856228,2024,360,165,90,105,0,0.2916666666666667,0.7083333333333334
12856231,2023,360,30,330,0,0,0.0,1.0
12856234,2024,360,270,0,60,30,0.25,0.75
12856237,2024,360,150,45,120,45,0.4583333333333333,0.5416666666666666
12856240,2024,360,90,45,180,45,0.625,0.375
12856243,2024,360,225,30,45,60,0.2916666666666667,0.7083333333333334
12856246,2024,360,195,15,75,75,0.4166666666666667,0.5833333333333334
