region,delta,metric
0,-0.010810810810810811,accuracy
1,0.060833531753491155,accuracy
2,-0.021726700971984036,accuracy
3,-0.09683679798323364,accuracy
4,0.0796681535831909,accuracy
5,-0.27450980392156865,accuracy
0,0.00578034682080919,sensitivity
1,-0.06783169780884524,sensitivity
2,-0.05681818181818182,sensitivity
3,0.18304925232667568,sensitivity
4,0.01379310344827589,sensitivity
5,0.018867924528301883,sensitivity
0,-0.004777830864787336,precision
1,0.14823623945359587,precision
2,-0.05989817310572032,precision
3,-0.08894105372978617,precision
4,0.0714285714285714,precision
5,-0.20261437908496727,precision
0,-0.0012873114308498135,r2_phase3plus
1,0.03886027577858475,r2_phase3plus
2,-0.014203125938898165,r2_phase3plus
3,-0.07231221497169682,r2_phase3plus
4,0.1954071787790339,r2_phase3plus
5,-0.20359148588158027,r2_phase3plus
