model,region,year,n_samples,accuracy,sensitivity,precision,r2_phase3plus
global,0,2022,185,0.7621621621621621,0.9884393063583815,0.9395604395604396,-0.30882308239122724
global,0,2023,392,0.7704081632653061,0.9394812680115274,0.8834688346883469,-0.12159265876614489
global,0,2024,396,0.8535353535353535,0.9972144846796658,0.9086294416243654,0.3536162927679688
global,1,2022,1191,0.3089840470193115,0.5348837209302325,0.7022900763358778,-0.479761465243264
global,1,2023,1399,0.5482487491065047,0.9922907488986784,0.6784638554216867,0.22292273530637996
global,1,2024,1044,0.49712643678160917,0.9185840707964602,0.5844594594594594,0.07836485406696958
global,2,2022,1749,0.548885077186964,0.24431818181818182,0.6825396825396826,0.24329571977070752
global,2,2023,2035,0.5813267813267813,0.3829787234042553,0.6067415730337079,0.2904613505566622
global,2,2024,1795,0.7025069637883008,0.215311004784689,0.7758620689655172,0.361691686106983
global,3,2022,302,0.6225165562913907,0.6183206106870229,0.5704225352112676,-0.21137862520233286
global,3,2023,262,0.5419847328244275,0.6235955056179775,0.6851851851851852,-0.09697911072554799
global,3,2024,321,0.7632398753894081,0.8745387453874539,0.8713235294117647,-0.12383029919265476
global,4,2022,578,0.5709342560553633,0.7758620689655172,0.7894736842105263,0.4614550236931966
global,4,2023,717,0.7517433751743375,0.9097387173396675,0.8568232662192393,0.6651957711353829
global,4,2024,645,0.648062015503876,0.8668478260869565,0.7233560090702947,0.44744817268225134
global,5,2022,102,0.6568627450980392,0.9811320754716981,0.7222222222222222,0.7107344362419903
global,5,2023,109,0.6238532110091743,0.8214285714285714,0.6865671641791045,0.5470010962689371
global,5,2024,85,0.6235294117647059,0.8837209302325582,0.7755102040816326,0.7091399716410568
regional,0,2022,185,0.7513513513513513,0.9942196531791907,0.9347826086956522,-0.31011039382207706
regional,0,2023,396,0.8106060606060606,0.9914529914529915,0.8877551020408163,-0.266215042924806
regional,0,2024,401,0.8503740648379052,1.0,0.9077306733167082,0.4350363121120685
regional,1,2022,1206,0.36981757877280264,0.46705202312138727,0.8505263157894737,-0.44090118946467927
regional,1,2023,1405,0.4391459074733096,0.8530701754385965,0.6576500422654269,-0.018254191295133282
regional,1,2024,1045,0.4813397129186603,0.9840989399293286,0.5742268041237113,-0.09481150482090128
regional,2,2022,1749,0.52715837621498,0.1875,0.6226415094339622,0.22909259383180935
regional,2,2023,2035,0.571007371007371,0.3475177304964539,0.6901408450704225,0.2905637559737817
regional,2,2024,1795,0.705849582172702,0.18660287081339713,0.6964285714285714,0.30273747676834817
regional,3,2022,331,0.525679758308157,0.8013698630136986,0.48148148148148145,-0.2836908401740297
regional,3,2023,262,0.4351145038167939,0.3258426966292135,0.725,-0.20586166535850525
regional,3,2024,321,0.7819314641744548,0.9261992619926199,0.8537414965986394,-0.1465819851195187
regional,4,2022,581,0.6506024096385542,0.7896551724137931,0.8609022556390977,0.6568622024722305
regional,4,2023,718,0.7855153203342619,0.8978622327790974,0.8957345971563981,0.666457385491166
regional,4,2024,648,0.720679012345679,0.8505434782608695,0.8346666666666667,0.44972699059877896
regional,5,2022,102,0.38235294117647056,1.0,0.5196078431372549,0.50714295036041
regional,5,2023,109,0.6422018348623854,0.9107142857142857,0.6710526315789473,0.6484411637128096
regional,5,2024,85,0.5176470588235295,0.9767441860465116,0.6176470588235294,0.7766451884647909
