region,delta,metric
0,-0.010810810810810811,accuracy
1,0.153369341563786,accuracy
2,-0.01588235294117646,accuracy
3,-0.09683679798323364,accuracy
4,0.0796681535831909,accuracy
5,-0.27450980392156865,accuracy
6,0.4285714285714286,accuracy
7,-0.04462025316455695,accuracy
0,0.00578034682080919,sensitivity
1,-0.22719111210862986,sensitivity
2,0.0,sensitivity
3,0.18304925232667568,sensitivity
4,0.01379310344827589,sensitivity
5,0.018867924528301883,sensitivity
6,-1.0,sensitivity
7,-0.1359091375243565,sensitivity
0,-0.004777830864787336,precision
1,0.19371980676328504,precision
2,-0.1509121061359867,precision
3,-0.08894105372978617,precision
4,0.0714285714285714,precision
5,-0.20261437908496727,precision
6,,precision
7,-0.0644802948824762,precision
0,-0.0012873114308498135,r2_phase3plus
1,0.09394702781532094,r2_phase3plus
2,-0.019639527122064404,r2_phase3plus
3,-0.07231221497169682,r2_phase3plus
4,0.1954071787790339,r2_phase3plus
5,-0.20359148588158027,r2_phase3plus
6,1.442410261038047,r2_phase3plus
7,-0.20547153217613,r2_phase3plus
