model,region,year,n_samples,accuracy,sensitivity,precision,r2_phase3plus
global,0,2022,185,0.7621621621621621,0.9884393063583815,0.9395604395604396,-0.30882308239122724
global,0,2023,389,0.7763496143958869,0.938953488372093,0.8825136612021858,-0.06926759745444877
global,0,2024,389,0.87146529562982,0.9971590909090909,0.9069767441860465,0.07230461128717547
global,1,2022,480,0.41041666666666665,0.943609022556391,0.606280193236715,0.6394635793423125
global,1,2023,381,0.7217847769028871,0.9925650557620818,0.7994011976047904,0.5275388048421646
global,1,2024,334,0.5988023952095808,0.873015873015873,0.8365019011406845,-0.14757296093892092
global,2,2022,1700,0.5558823529411765,0.24,0.7777777777777778,0.2645823550833577
global,2,2023,1938,0.5897832817337462,0.36764705882352944,0.6329113924050633,0.32197429008641765
global,2,2024,1697,0.7265763111373011,0.21025641025641026,0.82,0.37566957115279986
global,3,2022,302,0.6225165562913907,0.6183206106870229,0.5704225352112676,-0.21137862520233286
global,3,2023,262,0.5419847328244275,0.6235955056179775,0.6851851851851852,-0.09697911072554799
global,3,2024,321,0.7632398753894081,0.8745387453874539,0.8713235294117647,-0.12383029919265476
global,4,2022,578,0.5709342560553633,0.7758620689655172,0.7894736842105263,0.4614550236931966
global,4,2023,717,0.7517433751743375,0.9097387173396675,0.8568232662192393,0.6651957711353829
global,4,2024,645,0.648062015503876,0.8668478260869565,0.7233560090702947,0.44744817268225134
global,5,2022,102,0.6568627450980392,0.9811320754716981,0.7222222222222222,0.7107344362419903
global,5,2023,109,0.6238532110091743,0.8214285714285714,0.6865671641791045,0.5470010962689371
global,5,2024,85,0.6235294117647059,0.8837209302325582,0.7755102040816326,0.7091399716410568
global,6,2022,49,0.30612244897959184,1.0,0.1111111111111111,-1.1096717563695009
global,6,2023,97,0.41237113402061853,0.8,0.4,-0.5912484650227008
global,6,2024,98,0.2857142857142857,0.2857142857142857,0.5,0.0953974892567061
global,7,2022,711,0.23628691983122363,0.3486394557823129,0.8436213991769548,-1.5884230236578047
global,7,2023,1018,0.48330058939096265,0.9921752738654147,0.6378269617706237,0.12025332226242513
global,7,2024,710,0.44929577464788734,0.9552715654952076,0.4784,-0.009958902392730451
global,8,2024,9,0.1111111111111111,1.0,1.0,-72.23839999999993
regional,0,2022,185,0.7513513513513513,0.9942196531791907,0.9347826086956522,-0.31011039382207706
regional,0,2023,393,0.816793893129771,0.9913793103448276,0.8868894601542416,-0.3402004346376404
regional,0,2024,392,0.8724489795918368,1.0,0.9056122448979592,0.2080030915673433
regional,1,2022,486,0.5637860082304527,0.7164179104477612,0.8,0.7334106071576334
regional,1,2023,387,0.48578811369509045,0.47619047619047616,0.8227848101265823,0.2904756511891282
regional,1,2024,335,0.6358208955223881,0.9604743083003953,0.8466898954703833,0.12767336620583436
regional,2,2022,1700,0.54,0.24,0.6268656716417911,0.2449428279612933
regional,2,2023,1938,0.5897832817337462,0.3897058823529412,0.7162162162162162,0.33177752672948646
regional,2,2024,1697,0.7330583382439599,0.18461538461538463,0.7659574468085106,0.287418490669773
regional,3,2022,331,0.525679758308157,0.8013698630136986,0.48148148148148145,-0.2836908401740297
regional,3,2023,262,0.4351145038167939,0.3258426966292135,0.725,-0.20586166535850525
regional,3,2024,321,0.7819314641744548,0.9261992619926199,0.8537414965986394,-0.1465819851195187
regional,4,2022,581,0.6506024096385542,0.7896551724137931,0.8609022556390977,0.6568622024722305
regional,4,2023,718,0.7855153203342619,0.8978622327790974,0.8957345971563981,0.666457385491166
regional,4,2024,648,0.720679012345679,0.8505434782608695,0.8346666666666667,0.44972699059877896
regional,5,2022,102,0.38235294117647056,1.0,0.5196078431372549,0.50714295036041
regional,5,2023,109,0.6422018348623854,0.9107142857142857,0.6710526315789473,0.6484411637128096
regional,5,2024,85,0.5176470588235295,0.9767441860465116,0.6176470588235294,0.7766451884647909
regional,6,2022,49,0.7346938775510204,0.0,,0.33273850466854604
regional,6,2023,97,0.7216494845360825,0.2,1.0,0.41932759254549634
regional,6,2024,98,0.6326530612244898,0.07142857142857142,1.0,0.4304446483978993
regional,7,2022,720,0.19166666666666668,0.21273031825795644,0.7791411042944786,-1.7938945558339348
regional,7,2023,1018,0.5530451866404715,0.9640062597809077,0.6710239651416122,0.1007975738572574
regional,7,2024,710,0.428169014084507,0.9680511182108626,0.46831530139103555,-0.1424562685368238
regional,8,2024,9,0.8888888888888888,1.0,1.0,-0.23119999999999985
